FIPS,r
99001,pr2
99002,pr3
99003,pr5
99004,pr8
99005,pr10
99006,pr14
99007,pr16
99008,pr18
99009,pr21
99010,pr23
99011,pr29
99012,pr32
99013,pr35
99014,pr38
99015,pr40
99016,pr41
99017,pr45
99018,pr50
99019,pr63
99020,pr82
99021,pr83
99022,pr84
99023,pr85
99024,pr86
99025,pr87
99026,pr88
99027,pr93
99028,pr96
99029,pr99
99030,pr100
99031,pr101
99032,pr102
99033,pr103
99034,pr106
99035,pr107
99036,pr111
99037,pr116
99038,pr120
99039,pr127
99040,pr149
99041,pr153
99042,pr167
99043,pr169
99044,pr175
99045,pr177
99046,pr184
99047,pr185
99048,pr190
99049,pr196
99050,pr204
99051,pr211
99052,pr213
99053,pr231
99054,pr232
99055,pr233
99056,pr234
99057,pr266
99058,pr271
99059,pr275
99060,pr277
99061,pr280
99062,pr281
99063,pr290
99064,pr294
99065,pr296
99066,pr310
99067,pr313
99068,pr319
99069,pr321
99070,pr334
99071,pr335
99072,pr343
99073,pr352
99074,pr353
99075,pr363
99076,pr378
99077,pr392
99078,pr400
99079,pr428
99080,pr440
99081,pr441
99082,pr442
99083,pr451
99084,pr452
99085,pr480
99086,pr489
99087,pr492
99088,pr545
99089,pr555
99090,pr583
99091,pr632
99092,pr902
99093,pr956
99094,pr1025
99095,pr1027
99096,pr1040
99097,pr1077
99098,pr1078
99099,pr1079
99100,pr1102
99101,pr1103
99102,pr1104
99103,pr1105
99104,pr1110
99105,pr1206
99106,pr1800
99107,pr1802
99108,pr2001
99109,pr2002
99110,pr2222
99111,pr3000
99112,pr3001
99113,pr7000
99114,pr7200
99115,pr97014
99116,pr97021
99117,pr97047
99118,pr97064
99119,pr97094
99120,pr97134
99121,pr97144
