r,nercr,transreg,transgrp,st,interconnect,hurdlereg
pr2,PR,PR,PR,PR,PR,PR
pr3,PR,PR,PR,PR,PR,PR
pr5,PR,PR,PR,PR,PR,PR
pr8,PR,PR,PR,PR,PR,PR
pr10,PR,PR,PR,PR,PR,PR
pr14,PR,PR,PR,PR,PR,PR
pr16,PR,PR,PR,PR,PR,PR
pr18,PR,PR,PR,PR,PR,PR
pr21,PR,PR,PR,PR,PR,PR
pr23,PR,PR,PR,PR,PR,PR
pr29,PR,PR,PR,PR,PR,PR
pr32,PR,PR,PR,PR,PR,PR
pr35,PR,PR,PR,PR,PR,PR
pr38,PR,PR,PR,PR,PR,PR
pr40,PR,PR,PR,PR,PR,PR
pr41,PR,PR,PR,PR,PR,PR
pr45,PR,PR,PR,PR,PR,PR
pr50,PR,PR,PR,PR,PR,PR
pr63,PR,PR,PR,PR,PR,PR
pr82,PR,PR,PR,PR,PR,PR
pr83,PR,PR,PR,PR,PR,PR
pr84,PR,PR,PR,PR,PR,PR
pr85,PR,PR,PR,PR,PR,PR
pr86,PR,PR,PR,PR,PR,PR
pr87,PR,PR,PR,PR,PR,PR
pr88,PR,PR,PR,PR,PR,PR
pr93,PR,PR,PR,PR,PR,PR
pr96,PR,PR,PR,PR,PR,PR
pr99,PR,PR,PR,PR,PR,PR
pr100,PR,PR,PR,PR,PR,PR
pr101,PR,PR,PR,PR,PR,PR
pr102,PR,PR,PR,PR,PR,PR
pr103,PR,PR,PR,PR,PR,PR
pr106,PR,PR,PR,PR,PR,PR
pr107,PR,PR,PR,PR,PR,PR
pr111,PR,PR,PR,PR,PR,PR
pr116,PR,PR,PR,PR,PR,PR
pr120,PR,PR,PR,PR,PR,PR
pr127,PR,PR,PR,PR,PR,PR
pr149,PR,PR,PR,PR,PR,PR
pr153,PR,PR,PR,PR,PR,PR
pr167,PR,PR,PR,PR,PR,PR
pr169,PR,PR,PR,PR,PR,PR
pr175,PR,PR,PR,PR,PR,PR
pr177,PR,PR,PR,PR,PR,PR
pr184,PR,PR,PR,PR,PR,PR
pr185,PR,PR,PR,PR,PR,PR
pr190,PR,PR,PR,PR,PR,PR
pr196,PR,PR,PR,PR,PR,PR
pr204,PR,PR,PR,PR,PR,PR
pr211,PR,PR,PR,PR,PR,PR
pr213,PR,PR,PR,PR,PR,PR
pr231,PR,PR,PR,PR,PR,PR
pr232,PR,PR,PR,PR,PR,PR
pr233,PR,PR,PR,PR,PR,PR
pr234,PR,PR,PR,PR,PR,PR
pr266,PR,PR,PR,PR,PR,PR
pr271,PR,PR,PR,PR,PR,PR
pr275,PR,PR,PR,PR,PR,PR
pr277,PR,PR,PR,PR,PR,PR
pr280,PR,PR,PR,PR,PR,PR
pr281,PR,PR,PR,PR,PR,PR
pr290,PR,PR,PR,PR,PR,PR
pr294,PR,PR,PR,PR,PR,PR
pr296,PR,PR,PR,PR,PR,PR
pr310,PR,PR,PR,PR,PR,PR
pr313,PR,PR,PR,PR,PR,PR
pr319,PR,PR,PR,PR,PR,PR
pr321,PR,PR,PR,PR,PR,PR
pr334,PR,PR,PR,PR,PR,PR
pr335,PR,PR,PR,PR,PR,PR
pr343,PR,PR,PR,PR,PR,PR
pr352,PR,PR,PR,PR,PR,PR
pr353,PR,PR,PR,PR,PR,PR
pr363,PR,PR,PR,PR,PR,PR
pr378,PR,PR,PR,PR,PR,PR
pr392,PR,PR,PR,PR,PR,PR
pr400,PR,PR,PR,PR,PR,PR
pr428,PR,PR,PR,PR,PR,PR
pr440,PR,PR,PR,PR,PR,PR
pr441,PR,PR,PR,PR,PR,PR
pr442,PR,PR,PR,PR,PR,PR
pr451,PR,PR,PR,PR,PR,PR
pr452,PR,PR,PR,PR,PR,PR
pr480,PR,PR,PR,PR,PR,PR
pr489,PR,PR,PR,PR,PR,PR
pr492,PR,PR,PR,PR,PR,PR
pr545,PR,PR,PR,PR,PR,PR
pr555,PR,PR,PR,PR,PR,PR
pr583,PR,PR,PR,PR,PR,PR
pr632,PR,PR,PR,PR,PR,PR
pr902,PR,PR,PR,PR,PR,PR
pr956,PR,PR,PR,PR,PR,PR
pr1025,PR,PR,PR,PR,PR,PR
pr1027,PR,PR,PR,PR,PR,PR
pr1040,PR,PR,PR,PR,PR,PR
pr1077,PR,PR,PR,PR,PR,PR
pr1078,PR,PR,PR,PR,PR,PR
pr1079,PR,PR,PR,PR,PR,PR
pr1102,PR,PR,PR,PR,PR,PR
pr1103,PR,PR,PR,PR,PR,PR
pr1104,PR,PR,PR,PR,PR,PR
pr1105,PR,PR,PR,PR,PR,PR
pr1110,PR,PR,PR,PR,PR,PR
pr1206,PR,PR,PR,PR,PR,PR
pr1800,PR,PR,PR,PR,PR,PR
pr1802,PR,PR,PR,PR,PR,PR
pr2001,PR,PR,PR,PR,PR,PR
pr2002,PR,PR,PR,PR,PR,PR
pr2222,PR,PR,PR,PR,PR,PR
pr3000,PR,PR,PR,PR,PR,PR
pr3001,PR,PR,PR,PR,PR,PR
pr7000,PR,PR,PR,PR,PR,PR
pr7200,PR,PR,PR,PR,PR,PR
pr97014,PR,PR,PR,PR,PR,PR
pr97021,PR,PR,PR,PR,PR,PR
pr97047,PR,PR,PR,PR,PR,PR
pr97064,PR,PR,PR,PR,PR,PR
pr97094,PR,PR,PR,PR,PR,PR
pr97134,PR,PR,PR,PR,PR,PR
pr97144,PR,PR,PR,PR,PR,PR
