FIPS,r
53007,FIPS_53007
53029,FIPS_53029
53033,FIPS_53033
53035,FIPS_53035
53037,FIPS_53037
53053,FIPS_53053
53055,FIPS_53055
53057,FIPS_53057
53061,FIPS_53061
53067,FIPS_53067
53073,FIPS_53073
53003,FIPS_53003
53005,FIPS_53005
53009,FIPS_53009
53011,FIPS_53011
53013,FIPS_53013
53015,FIPS_53015
53023,FIPS_53023
53027,FIPS_53027
53031,FIPS_53031
53039,FIPS_53039
53041,FIPS_53041
53045,FIPS_53045
53049,FIPS_53049
53059,FIPS_53059
53069,FIPS_53069
53071,FIPS_53071
53077,FIPS_53077
53001,FIPS_53001
53019,FIPS_53019
53021,FIPS_53021
53043,FIPS_53043
53047,FIPS_53047
53051,FIPS_53051
53063,FIPS_53063
53065,FIPS_53065
53075,FIPS_53075
53017,FIPS_53017
53025,FIPS_53025
41003,FIPS_41003
41005,FIPS_41005
41007,FIPS_41007
41009,FIPS_41009
41013,FIPS_41013
41017,FIPS_41017
41021,FIPS_41021
41023,FIPS_41023
41027,FIPS_41027
41031,FIPS_41031
41039,FIPS_41039
41041,FIPS_41041
41043,FIPS_41043
41047,FIPS_41047
41049,FIPS_41049
41051,FIPS_41051
41053,FIPS_41053
41055,FIPS_41055
41057,FIPS_41057
41059,FIPS_41059
41061,FIPS_41061
41063,FIPS_41063
41065,FIPS_41065
41067,FIPS_41067
41069,FIPS_41069
41071,FIPS_41071
41011,FIPS_41011
41015,FIPS_41015
41019,FIPS_41019
41029,FIPS_41029
41033,FIPS_41033
41035,FIPS_41035
41001,FIPS_41001
41025,FIPS_41025
41037,FIPS_41037
41045,FIPS_41045
06035,FIPS_06035
06049,FIPS_06049
06093,FIPS_06093
06001,FIPS_06001
06003,FIPS_06003_06051
06005,FIPS_06005
06007,FIPS_06007
06009,FIPS_06009
06011,FIPS_06011
06013,FIPS_06013
06015,FIPS_06015
06017,FIPS_06017
06019,FIPS_06019
06021,FIPS_06021
06023,FIPS_06023
06031,FIPS_06031
06033,FIPS_06033
06039,FIPS_06039
06041,FIPS_06041
06043,FIPS_06043
06045,FIPS_06045
06047,FIPS_06047
06053,FIPS_06053
06055,FIPS_06055
06057,FIPS_06057
06061,FIPS_06061
06063,FIPS_06063
06067,FIPS_06067
06069,FIPS_06069
06075,FIPS_06075
06077,FIPS_06077
06079,FIPS_06079
06081,FIPS_06081
06083,FIPS_06083
06085,FIPS_06085
06087,FIPS_06087
06089,FIPS_06089
06091,FIPS_06091
06095,FIPS_06095
06097,FIPS_06097
06099,FIPS_06099
06101,FIPS_06101
06103,FIPS_06103
06105,FIPS_06105
06109,FIPS_06109
06113,FIPS_06113
06115,FIPS_06115
06025,FIPS_06025
06027,FIPS_06027
06029,FIPS_06029
06037,FIPS_06037
06051,FIPS_06003_06051
06059,FIPS_06059
06065,FIPS_06065
06071,FIPS_06071
06107,FIPS_06107
06111,FIPS_06111
06073,FIPS_06073
32001,FIPS_32001
32005,FIPS_32005
32007,FIPS_32007
32009,FIPS_32009
32011,FIPS_32011_32015
32013,FIPS_32013
32015,FIPS_32011_32015
32017,FIPS_32017
32019,FIPS_32019
32021,FIPS_32021
32023,FIPS_32023
32027,FIPS_32027
32029,FIPS_32029
32031,FIPS_32031
32033,FIPS_32033
32510,FIPS_32510
32003,FIPS_32003
16009,FIPS_16009
16017,FIPS_16017
16021,FIPS_16021
16055,FIPS_16055
16057,FIPS_16057
16061,FIPS_16061
16069,FIPS_16069
16001,FIPS_16001
16003,FIPS_16003
16013,FIPS_16013_16037
16015,FIPS_16015_16039
16023,FIPS_16023
16025,FIPS_16025
16027,FIPS_16027
16035,FIPS_16035
16037,FIPS_16013_16037
16039,FIPS_16015_16039
16045,FIPS_16045
16047,FIPS_16047
16049,FIPS_16049_16059
16053,FIPS_16053
16059,FIPS_16049_16059
16063,FIPS_16063
16067,FIPS_16067
16073,FIPS_16073
16075,FIPS_16075
16079,FIPS_16079
16085,FIPS_16085
16087,FIPS_16087
16005,FIPS_16005
16007,FIPS_16007
16011,FIPS_16011
16019,FIPS_16019
16029,FIPS_16029
16031,FIPS_16031
16033,FIPS_16033
16041,FIPS_16041
16043,FIPS_16043
16051,FIPS_16051
16065,FIPS_16065
16071,FIPS_16071
16077,FIPS_16077
16081,FIPS_16081
16083,FIPS_16083
30001,FIPS_30001
30007,FIPS_30007
30023,FIPS_30023
30029,FIPS_30029
30039,FIPS_30039
30043,FIPS_30043
30047,FIPS_30047
30053,FIPS_30053
30057,FIPS_30057
30061,FIPS_30061
30063,FIPS_30063
30077,FIPS_30077
30081,FIPS_30081
30089,FIPS_30089
30093,FIPS_30093
30003,FIPS_30003
30005,FIPS_30005
30009,FIPS_30009
30013,FIPS_30013
30015,FIPS_30015
30031,FIPS_30031
30035,FIPS_30035
30041,FIPS_30041
30049,FIPS_30049
30051,FIPS_30051
30059,FIPS_30059
30067,FIPS_30067
30071,FIPS_30071
30073,FIPS_30073
30095,FIPS_30095
30097,FIPS_30097
30099,FIPS_30099
30101,FIPS_30101
30033,FIPS_30033_30105
30105,FIPS_30033_30105
30027,FIPS_30027_30069
30037,FIPS_30037
30045,FIPS_30045
30065,FIPS_30065
30069,FIPS_30027_30069
30075,FIPS_30075_30011
30087,FIPS_30087_30103
30103,FIPS_30087_30103
30107,FIPS_30107
30111,FIPS_30111
56003,FIPS_56003
56013,FIPS_56013_56035
56017,FIPS_56017
56023,FIPS_56023
56029,FIPS_56029
56035,FIPS_56013_56035
56037,FIPS_56037
56039,FIPS_56039
56041,FIPS_56041
56043,FIPS_56043
56019,FIPS_56019
56033,FIPS_56033
56005,FIPS_56005
56011,FIPS_56011
56045,FIPS_56045
56001,FIPS_56001
56007,FIPS_56007
56009,FIPS_56009
56015,FIPS_56015
56021,FIPS_56021
56025,FIPS_56025
56027,FIPS_56027
56031,FIPS_56031
49001,FIPS_49001_49031
49003,FIPS_49003
49005,FIPS_49005_49033
49007,FIPS_49007
49011,FIPS_49011
49015,FIPS_49015_49055
49017,FIPS_49017_49025_49037
49019,FIPS_49019
49021,FIPS_49021
49023,FIPS_49023
49025,FIPS_49017_49025_49037
49027,FIPS_49027
49031,FIPS_49001_49031
49035,FIPS_49035
