r,md5,node_lat,node_lon
FIPS_01001,1e685a8cce29c9bfbf747b9c5021e9c7,32.53490924,-86.64275952
FIPS_01003,4e3a70b7d33060b85039a37854d5cfbb,30.72688706,-87.72224345
FIPS_01005,a175fce93b2419adc1af906f5415ba27,31.8695477,-85.39343366
FIPS_01007,5f447c6de16af4a9f66d4b3059560fa1,32.99861263,-87.12646197
FIPS_01009,d7d4172ebfe14258d1fc27e9c026bb0b,33.98081453,-86.56754581
FIPS_01011,b8d7450486a88e28ef46e48777fa88a9,32.10057276,-85.71566585
FIPS_01013,acfb357aea2524207f1ad1a6b083e973,31.75235441,-86.68030335
FIPS_01015,658110253a6a191c49bb54f156dab00c,33.77139507,-85.82613545
FIPS_01017,e597986f5be42ddbaeb14bff1c5d9cec,32.91431203,-85.3920147
FIPS_01019,77d2199dacf7f89b2f49023abcee281e,34.17580981,-85.60380301
FIPS_01021,49da555e5ace736ade71a6e07974da59,32.84781677,-86.71886298
FIPS_01023,d0fa9491e1f37e2fd41adf6275c28821,32.01935896,-88.2633334
FIPS_01025,00ef47ce4a25ee7029e3a39423af03a6,31.67640542,-87.83070588
FIPS_01027,59ab165fcfcac0dfab8357e36f2b9cd8,33.26904307,-85.8606797
FIPS_01029,cbef11302d5755e59c44e8e00d6d2349,33.67443497,-85.51888074
FIPS_01031,e4a93ec493346d951ca08d27578f465f,31.40254424,-85.98822737
FIPS_01033,3c4fa6308991b2385d8e8c1c17ac8b83,34.70054275,-87.80493852
FIPS_01035,01a62cce7d9ea865b18f3b4ba788c1fa,31.429254,-86.99369612
FIPS_01037,432ca599953ff50cd4eeffe22faf3e48,32.93620983,-86.24762184
FIPS_01039,50596b50976848d4e5a2f16bdc702b03,31.24837267,-86.45120994
FIPS_01041,6dd168c521731e75624f909daba5daa5,31.73130926,-86.31352245
FIPS_01043,6be2000c2ec07d5e1447393ba4b6b73a,34.13189902,-86.86778335
FIPS_01045,e5660622be6e6960f86029ccef482f6b,31.43176284,-85.6110733
FIPS_01047,c632f5fe1ad6a30f1db6a0db774c1682,32.32587187,-87.10652185
FIPS_01049,d32f7df8ddcc9d2cb0ba567ef8851329,34.45962767,-85.80453575
FIPS_01051,a37c65a1cd70740bc7958f53ffe3ce6f,32.59666005,-86.1491363
FIPS_01053,6807d4d8ca15f644d5605468077dbc21,31.12636688,-87.16161188
FIPS_01055,03ac9114c7129baec1f7f55d8ae23b12,34.04527053,-86.03475531
FIPS_01057,851e18c0d7e888a570819db21c0d8f64,33.72115767,-87.73884531
FIPS_01059,6fd4a0ab0e05305864a380a225057e55,34.44174536,-87.84380287
FIPS_01061,e100dd46916dd446586644f3a02602ee,31.09516883,-85.83898934
FIPS_01063,4ae2db54fc557e4b9dce91ea9e9bc98d,32.8529713,-87.95219042
FIPS_01065,cf187b4da7370f65fe195b0b016035e9,32.76249571,-87.62918536
FIPS_01067,15d7c3bd0597d2c1632c329cb545c73d,31.51460654,-85.24141708
FIPS_01069,fa34f327494384204ac774f493245f6f,31.15321587,-85.30244688
FIPS_01071,b826b8f053e8dee4e1377390f21183ba,34.77938556,-85.99940506
FIPS_01073,2960e42eb36dbb046a6ee3707bd2d290,33.5542653,-86.89666301
FIPS_01075,0813c2f03e941f5b24226a7a9772b8dd,33.77899196,-88.09691987
FIPS_01077,f3e6bd3f7e0c2e8e18b202e7302dd2bf,34.90160269,-87.65393497
FIPS_01079,2a8590f74eb87515c40912ed6bb6be52,34.52151291,-87.31106891
FIPS_01081,9ea7124c3bca89c92a783f61c275a7dc,32.60119648,-85.35550749
FIPS_01083,1f62f58af40b338d2e3e150590d8b277,34.81000055,-86.98128764
FIPS_01085,5aeb188ac1588e72a7196aceb5c56f40,32.15469949,-86.65009106
FIPS_01087,9449da91f9febefe00baaed290377dac,32.3859891,-85.69266259
FIPS_01089,970b073edd0531207b2524ac88648d40,34.76295109,-86.5501754
FIPS_01091,62f1ab511530657b53d5b1563a0cf8a7,32.24748891,-87.78961731
FIPS_01093,76972a62b246217a5118ac29d7439b43,34.13652469,-87.88703611
FIPS_01095,91e950673ca45104c1108f9fc74fe0ff,34.36688368,-86.30663885
FIPS_01097,a34387a687fcea5e819dc86b1f00613b,30.78683518,-88.20590518
FIPS_01099,fad1fa20af32774e4780ec9d7325a029,31.57070434,-87.36588532
FIPS_01101,3c4c2a6e5318f9f638230af031c3e058,32.2201506,-86.20753782
FIPS_01103,4f2ecc93e4d80810ad4d3a74af2c45ea,34.45349763,-86.85286836
FIPS_01105,0288b84e066b028ae6d886cca55e2001,32.63838309,-87.29455838
FIPS_01107,8266716328f6080ae72859c6417606f4,33.28073953,-88.08879731
FIPS_01109,acbda39b4b0622bdbd700d0c38ef1d3f,31.80267163,-85.94088065
FIPS_01111,8e88848cecf2dfe586dab1e65a48850f,33.2937097,-85.45904675
FIPS_01113,22adec06b81bec164bf4c404ea8d30d6,32.28834482,-85.18497238
FIPS_01115,0da6699ac8ae7aee51de72fee5ceb4ab,33.71561177,-86.31472734
