r,nercr,transreg,transgrp,st,interconnect,hurdlereg,iso
AL,SERC_SE,SERTP,SERTP,AL,eastern,PowerSouth_Energy_Coop,SERC
AR,MISO,MISO,MISO_South,AR,eastern,MISO,MISO
AZ,WECC_SW,WestConnect,WestConnect_South,AZ,western,Arizona_Public_Service_Co,WestConnect
CA_N,WECC_CA,CAISO,CAISO,CA,western,CAISO,CAISO
CA_S,WECC_CA,CAISO,CAISO,CA,western,CAISO,CAISO
CO,WECC_NW,WestConnect,WestConnect_North,CO,western,Public_Service_Co_of_Colorado,WestConnect
CT,NPCC_NE,ISONE,ISONE,CT,eastern,ISONE,ISONE
DE,PJM,PJM,PJM_East,DE,eastern,PJM,PJM
FL,SERC_F,FRCC,FRCC,FL,eastern,Seminole_Electric_Coop_Inc,SERC
GA,SERC_SE,SERTP,SERTP,GA,eastern,Southern_Co_Services_Inc,SERC
IA,MISO,MISO,MISO_North,IA,eastern,MISO,MISO
ID,WECC_NW,NorthernGrid,NorthernGrid_East,ID,western,Idaho_Power_Co,NorthernGrid
IL_MISO,MISO,MISO,MISO_Central,IL,eastern,MISO,MISO
IL_PJM,PJM,PJM,PJM_West,IL,eastern,PJM,PJM
IN,MISO,MISO,MISO_Central,IN,eastern,MISO,MISO
KS,SPP,SPP,SPP_South,KS,eastern,SPP,SPP
KY,PJM,PJM,PJM_East,KY,eastern,PJM,PJM
LA,MISO,MISO,MISO_South,LA,eastern,MISO,MISO
MA,NPCC_NE,ISONE,ISONE,MA,eastern,ISONE,ISONE
MD,PJM,PJM,PJM_East,MD,eastern,PJM,PJM
ME,NPCC_NE,ISONE,ISONE,ME,eastern,ISONE,ISONE
MI,MISO,MISO,MISO_Central,MI,eastern,MISO,MISO
MN,MISO,MISO,MISO_North,MN,eastern,MISO,MISO
MO,MISO,MISO,MISO_Central,MO,eastern,MISO,MISO
MS,MISO,MISO,MISO_South,MS,eastern,MISO,MISO
MT,WECC_NW,NorthernGrid,NorthernGrid_East,MT,western,Northwestern_Energy,NorthernGrid
NC,SERC_E,SERTP,SERTP,NC,eastern,Duke_Energy_Carolinas_LLC,SERC
ND,SPP,SPP,SPP_North,ND,eastern,SPP,SPP
NE,SPP,SPP,SPP_North,NE,eastern,SPP,SPP
NH,NPCC_NE,ISONE,ISONE,NH,eastern,ISONE,ISONE
NJ,PJM,PJM,PJM_East,NJ,eastern,PJM,PJM
NM,WECC_SW,WestConnect,WestConnect_South,NM,western,Public_Service_Co_of_New_Mexico,WestConnect
NV,WECC_NW,NorthernGrid,NorthernGrid_South,NV,western,Nevada_Power_Co,NorthernGrid
NY_NYCLI,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO,NYISO
NY_UP,NPCC_NY,NYISO,NYISO,NY,eastern,NYISO,NYISO
OH,PJM,PJM,PJM_East,OH,eastern,PJM,PJM
OK,SPP,SPP,SPP_South,OK,eastern,SPP,SPP
OR,WECC_NW,NorthernGrid,NorthernGrid_West,OR,western,Bonneville_Power_Administration,NorthernGrid
PA,PJM,PJM,PJM_East,PA,eastern,PJM,PJM
RI,NPCC_NE,ISONE,ISONE,RI,eastern,ISONE,ISONE
SC,SERC_E,SERTP,SERTP,SC,eastern,Duke_Energy_Carolinas_LLC,SERC
SD,SPP,SPP,SPP_North,SD,eastern,SPP,SPP
TN,SERC_C,SERTP,SERTP,TN,eastern,Tennessee_Valley_Authority,SERC
TX_ERCOT_E,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,ERCOT
TX_ERCOT_W,ERCOT,ERCOT,ERCOT,TX,texas,ERCOT,ERCOT
TX_MISO,MISO,MISO,MISO_South,TX,eastern,MISO,MISO
TX_SPP,SPP,SPP,SPP_South,TX,eastern,SPP,SPP
UT,WECC_NW,NorthernGrid,NorthernGrid_South,UT,western,PacifiCorp_East,NorthernGrid
VA,PJM,PJM,PJM_East,VA,eastern,PJM,PJM
VT,NPCC_NE,ISONE,ISONE,VT,eastern,ISONE,ISONE
WA,WECC_NW,NorthernGrid,NorthernGrid_West,WA,western,Bonneville_Power_Administration,NorthernGrid
WI,MISO,MISO,MISO_North,WI,eastern,MISO,MISO
WV,PJM,PJM,PJM_East,WV,eastern,PJM,PJM
WY,WECC_NW,NorthernGrid,NorthernGrid_East,WY,western,PacifiCorp_East,NorthernGrid
