output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.6444225684041589,287.61456402856027,201.51858529710606,0.12296615772601796
cap_CoalOldScr_coal-CCS_mod,0.5992815242335447,1095.1818158612984,785.9918945250535,0.15876565744730076
cap_Gas-CC_Gas-CC-CCS_mod,0.19653911876938135,849.6683377453212,172.83557266199549,0.09090169914783217
cap_Gas-CC_H2-CC,0.4529291158697366,165.78729122037095,48.41571139403233,0.08318434478246739
cap_H2-CC,0.6036704622349629,515.356210212421,176.22641683348593,0.08343177601086484
cap_H2-CT,0.6861400493828871,887.0223450985171,283.61077450177055,0.061410725653224266
cap_battery_li,0.8466871210681527,3479.7281528144863,2619.1683640013607,0.09839600613880485
cap_coal-ccs_mod,0.773724594033594,757.9943595244952,533.2016227521484,0.12505832554578705
cap_electrolyzer,0.6919480126018612,676.3325355118635,233.90092267395173,0.07045673059845821
cap_gas-cc,0.8558573063366658,7187.295690761423,5527.414985377658,0.09485376066229093
cap_gas-cc-ccs_mod,0.6862842306122262,2342.6632927362402,1051.7580664489303,0.0753214164460916
cap_gas-ct,0.8156869170152897,5312.971456196771,4155.401650800337,0.08575981872095709
cap_hydUD,0.2483786564425059,0.9557084265524881,0.2756669410170178,0.15928473775874802
cap_nuclear,-0.5571536420096224,4.645002536627806,0.4503234040609955,0.05654579742218965
cap_nuclear-smr,-0.21523870903964126,281.28782818853233,56.77091798024593,0.09759756501009281
cap_o-g-s,0.3371501691198614,324.59287716978207,225.95916057465837,0.26479677998041484
cap_pumped-hydro,0.20224927807049375,103.23581412712707,19.61569389455577,0.076310410558012
gen_CoalOldScr,0.7959678020208211,698804.2810183233,421743.7701161789,0.08577234317312758
gen_CoalOldScr_coal-CCS_mod,0.5992815242259605,575627.5624252509,413117.33976671746,0.15876565744703225
gen_Gas-CC_Gas-CC-CCS_mod,0.19283343076673365,6163724.346961391,1244274.128507116,0.08984130242337524
gen_Gas-CC_H2-CC,0.2227071946720528,170559.86061720172,37198.31793068055,0.05957617395674056
gen_H2-CC,0.6036704622327658,270871.2240877165,92624.60468662121,0.08343177600460004
gen_H2-CT,0.6861400493914857,466218.94458201394,149065.82308218305,0.06141072565337822
gen_battery_li,0.8704227914847922,1117881.422381618,831317.6065784883,0.09516724765568549
gen_coal-ccs_mod,0.8312347333083281,3438329.0902764946,1849483.7299102328,0.08958845000697345
gen_distpv,0.8599981882889989,668709.5140317163,432850.5223331193,0.15597086414403272
gen_gas-cc,0.9112510918198813,39283337.59888625,29135876.53764917,0.09284438686387533
gen_gas-cc-ccs_mod,0.6312632461089618,14734810.96174909,5308110.477868282,0.07611844979474282
gen_gas-ct,0.7128210881317124,8634200.482357226,5201230.894608643,0.07554411390864883
gen_hydED,0.7800357904280191,12179.17406882168,7368.851322587877,0.1506492416859442
gen_hydEND,0.6675810875394947,210.7196140196544,136.03409014958885,0.17113243720881283
gen_hydUD,0.28915233562726417,1809.34315889753,522.9967109061614,0.14288505461750473
gen_lfill-gas,0.73723840141395,4076.037167714045,3175.2894932936865,0.09017724137813833
gen_nuclear,0.7408916762624962,431961.4988035116,334898.4053686999,0.08591030958728113
gen_nuclear-smr,-0.2149783657387827,2119783.868628273,427663.4010141636,0.09820981842530935
gen_o-g-s,0.5383969911776395,217107.90564044067,167670.77465458828,0.11465373884212253
gen_pumped-hydro,0.21023787964486018,62019.00494814352,12112.35512102091,0.07467238752309832
tran_AC_total,0.8607732471024716,4519.097773693221,2968.03202329974,0.08142365402119935
tran_total,0.8607732471024716,4519.097773693221,2968.03202329974,0.08142365402119935
cost_inv_h2_production,-0.08058004224133763,12622531.842552977,1703405.9251744882,0.056860828709451965
cost_inv_h2_storage,-0.18704437202459956,8713054.546400247,1445221.6818927708,0.0836430754505743
cost_inv_investment_capacity_costs,0.7540807933079472,2911199660.8186545,2071186567.5032697,0.08642392984091851
cost_inv_investment_refurbishment_capacity,0.3533992669888366,546682874.7722714,236217910.50566214,0.08688818197548503
cost_inv_investment_spurline_costs_rsc_technologies,0.7637965383315877,649972768.4935855,473934853.3373908,0.12762727675565583
cost_inv_itc_payments_negative,-0.003956246516348294,124.49801216827211,13.311640207671703,0.06414440817498826
cost_inv_transmission_interzone_ac_investment,0.6904461712308685,901811568.6126862,500915783.77193147,0.11840311547893476
cost_inv_transmission_intrazone_investment,0.7280378421399099,271795692.59348327,192479144.90513504,0.09914723093020197
cost_op_co2_incentive_negative,0.19217807327819392,78897397.7151243,15927756.894113475,0.0898971042719468
cost_op_co2_transport_storage,0.6529307122761372,76346969.02347338,44519542.27658624,0.09643083516843329
cost_op_consume_fom,0.6919480126028563,12009346.009913117,4153278.1064670193,0.0704567305970142
cost_op_fom_costs,0.8956292722023262,244813762.5320547,179268563.2906607,0.0736717654093383
cost_op_fuelcosts_objfn,0.8795627424729345,599265457.0284216,452121291.03036267,0.07533479508330136
cost_op_h2_storage,0.7505820061209935,3573325.845816062,1246966.4288546923,0.06728895470327917
cost_op_h2_transport_intrareg,0.6990226988467274,14962426.56026272,5212909.666317993,0.06551497209296267
cost_op_ptc_payments_negative,0.9043923196806689,163362938.93806583,81165178.95009495,0.05858750084031948
cost_op_spurline_fom,0.9165284650214987,37736457.69019688,29181833.375083204,0.06536316876449262
cost_op_startcost,0.7559852639584738,83899246.51418571,61531564.69376379,0.09785560606374592
cost_op_transmission_fom,0.8365150853875346,58797940.388136595,36973099.79182857,0.0827028635452823
cost_op_transmission_intrazone_fom,0.9133718837478106,14176297.004366733,10786593.26671176,0.06736477786684991
cost_op_vom_costs,0.8941535086268795,101937224.7795954,71474425.45966463,0.06682878831608345
cost_total,0.7825503196172631,3987765767.9156027,2876411768.400867,0.09053501091150527
runtime_seconds,0.6194080564265395,162.3969123446572,125.84041769329238,0.1039206183735926
cap_upv,0.9017433095987347,8337.518775883418,6279.865543036485,0.0687317198372949
cap_wind-ons,0.9104250797092979,9246.337364130955,7282.341373678381,0.06844415722417042
gen_upv,0.8992402231836024,20002644.893100318,15324071.984443005,0.06989779079618388
gen_wind-ons,0.9096558183711045,31070998.55555897,24614694.07525763,0.06062429417003942
