output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.36771509377474065,383.5307473675109,305.36840005586515,0.16397397166886082
cap_CoalOldScr_coal-CCS_mod,0.449213224004278,1283.9801011962406,1006.4003010020108,0.18613525349245766
cap_Gas-CC_Gas-CC-CCS_mod,0.06226233436187478,917.9261594465823,350.10698194133255,0.09820425674252768
cap_Gas-CC_H2-CC,0.14276376485496167,207.52943085524285,107.86562269448214,0.10412860721528303
cap_H2-CC,0.26369004089748993,702.4406413438905,460.77488693334806,0.11371915014932173
cap_H2-CT,0.21778103433345708,1400.3312481303249,811.4962220910061,0.0969483560112766
cap_battery_li,0.7382647554654859,4546.603700578949,3720.095579767041,0.1285639641910066
cap_coal-ccs_mod,0.5595123214797455,1057.5823150036124,841.279835677185,0.17448609185450648
cap_electrolyzer,0.2695255214856387,1041.4796681623272,628.7000509245441,0.10849581906916499
cap_gas-cc,0.7503386923576872,9458.991082360828,7457.358501094675,0.12483427909975782
cap_gas-cc-ccs_mod,0.45067024858465077,3099.9754764119734,2071.3412924392674,0.09967055212564281
cap_gas-ct,0.6273641261447442,7554.430534297483,6056.425174234409,0.12194053713685542
cap_hydUD,0.0488711227406845,1.0750917938703888,0.41008847622632855,0.1791819656450648
cap_nuclear,-0.006898915351437607,3.7351939637074567,0.372978010785066,0.04547027036883429
cap_nuclear-smr,0.0190728278792901,252.71936693599704,85.93249713953433,0.0876852546471153
cap_o-g-s,0.1828057792659591,360.40769411317086,280.1335361633534,0.2940138357731605
cap_pumped-hydro,0.051286913944504575,112.58077386111984,43.39562196640854,0.0832180687188798
gen_CoalOldScr,0.5394029714425226,1049945.5296000512,780153.9580402562,0.12887197563631614
gen_CoalOldScr_coal-CCS_mod,0.44920357969911584,674865.8495828971,528969.4515062753,0.1861368831022441
gen_Gas-CC_Gas-CC-CCS_mod,0.058697229688185026,6656198.935404153,2511855.1528621544,0.09701952064754439
gen_Gas-CC_H2-CC,0.08688709688046081,184861.61737385407,76902.72595064882,0.06457174527896159
gen_H2-CC,0.2636538352581004,369211.87814928556,242223.7541308819,0.11372194599014912
gen_H2-CT,0.21775238227349292,736027.58370743,426578.70544605737,0.0969501315672611
gen_battery_li,0.7814240085504975,1451886.4679594948,1149837.397845613,0.12360169540152809
gen_coal-ccs_mod,0.49967763151690914,5920124.861569531,4552931.284960796,0.1542536494530581
gen_distpv,0.8240079787944192,749751.190078581,641832.3386165802,0.17487315277531237
gen_gas-cc,0.8868389785419427,44358341.4241729,34718529.008492835,0.10483892824683358
gen_gas-cc-ccs_mod,0.28265608628746797,20551809.3908225,11945572.67214706,0.10616843849354335
gen_gas-ct,0.4100072465193547,12375683.513474206,8949599.439445613,0.10827986296468792
gen_hydED,0.5812744894058628,16803.76258114811,14027.984664592566,0.20785268984709765
gen_hydEND,0.4144460492073099,279.66979091095135,189.47533819106084,0.2271291790037453
gen_hydUD,0.09303257052352298,2043.753519480665,997.9540315264437,0.16139659954480237
gen_lfill-gas,0.6367429234887134,4792.523261997799,3805.4837736666154,0.10602860308310069
gen_nuclear,0.6315335046489312,515114.0063465691,406633.5736443183,0.10244802807786417
gen_nuclear-smr,0.01871735359672333,1905041.187896877,647968.2143281294,0.08826076654558071
gen_o-g-s,0.4907431508824839,228039.33282638332,182117.4221710512,0.12042657790135249
gen_pumped-hydro,0.053120054912649706,67908.49463247637,26178.98593730045,0.08176347607554305
tran_AC_total,0.7546590864952476,5998.951895859366,4771.460876223514,0.10808719087728015
tran_total,0.7546590864952476,5998.951895859366,4771.460876223514,0.10808719087728015
cost_inv_h2_production,0.004440514038777654,12115786.487747885,3095804.138745684,0.054578088512929314
cost_inv_h2_storage,0.011196458133024945,7952285.488127026,2200376.8123286813,0.07633988878937073
cost_inv_investment_capacity_costs,0.6642922156183393,3401390334.5577145,2592601459.397375,0.10097607649237281
cost_inv_investment_refurbishment_capacity,0.15025717364020552,626702066.3768967,358236121.9760632,0.09960619895117712
cost_inv_investment_spurline_costs_rsc_technologies,0.7362305387284573,686853773.835098,537191208.0202368,0.1348691528832624
cost_inv_itc_payments_negative,-0.002655771044041133,124.41735174248848,26.246883386804534,0.06410284995903827
cost_inv_transmission_interzone_ac_investment,0.4620459156605442,1188831535.3064706,888848489.8050826,0.15608732739638
cost_inv_transmission_intrazone_investment,0.6023585414958033,328650395.77488565,251984142.1634582,0.11988702386807484
cost_op_co2_incentive_negative,0.05849680190739692,85175709.58645423,32129977.13632085,0.09705072496532684
cost_op_co2_transport_storage,0.34713731259960534,104711560.57485473,71203620.64139086,0.13225702823800006
cost_op_consume_fom,0.26948549356372653,18493613.308910258,11165212.140248092,0.10849879165740459
cost_op_fom_costs,0.8545188215766758,289034628.6316688,234222945.41360962,0.08697914339247749
cost_op_fuelcosts_objfn,0.7766861357185646,816012214.0207479,639224771.0518302,0.10258244023200647
cost_op_h2_storage,0.26896762803186947,6117543.050381285,3678294.2459521354,0.11519886374047066
cost_op_h2_transport_intrareg,0.259402292890074,23470716.169137754,13918999.256948993,0.10276964826725993
cost_op_ptc_payments_negative,0.5702629287868817,346344708.70748484,264965107.95009667,0.12421098104835686
cost_op_spurline_fom,0.9160152683459215,37852284.894728914,30128350.17320236,0.06556379260628245
cost_op_startcost,0.372097611051305,134584827.16963118,101300956.7176535,0.1569725638411066
cost_op_transmission_fom,0.6933461173983357,80528109.77234398,63738322.3070761,0.11326766261026072
cost_op_transmission_intrazone_fom,0.8990538845918913,15303056.217504809,12439116.127809238,0.07271905931842308
cost_op_vom_costs,0.8452455044687373,123258310.2065782,95931310.22753413,0.08080662916617276
cost_total,0.7352098968624494,4400490912.854831,3402591072.799385,0.09990518902004969
runtime_seconds,0.4367686489971123,197.556526988575,156.07785288178502,0.12641986939271685
cap_upv,0.8325136707622988,10885.426288841176,8844.87487693685,0.0897358183058343
cap_wind-ons,0.9198987177887479,8743.720246546294,7057.204741868025,0.06472363485247161
gen_upv,0.8257020409143321,26308129.893778488,21285603.0621142,0.09193185048185606
