output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.7486561705044469,241.8120246485757,172.44434626279613,0.10338383128620647
cap_CoalOldScr_coal-CCS_mod,0.6400145838575049,1038.0278228506097,735.1066639815933,0.15048019183358968
cap_Gas-CC_Gas-CC-CCS_mod,0.2961512442549674,795.2556075678934,261.9767491961211,0.08508035756233075
cap_Gas-CC_H2-CC,0.42030945181165347,170.65835085482837,74.50407693805512,0.0856284157429493
cap_H2-CC,0.7358820773711157,420.7055388357073,184.6555930848168,0.06810863939759883
cap_H2-CT,0.797504409893427,712.4828157843575,300.37293858185063,0.049326927302953516
cap_battery_li,0.9019964041563971,2782.127331000446,2031.552320442836,0.07867000119496144
cap_coal-ccs_mod,0.8634741251162679,588.7823487140323,445.1427946390803,0.09714074216499904
cap_electrolyzer,0.8054409276627673,537.4944892649617,258.53398757951754,0.055993320504145724
cap_gas-cc,0.950271370897846,4221.554876264782,3356.4520119473004,0.055713633205693974
cap_gas-cc-ccs_mod,0.7950080092351386,1893.6954876152802,1006.5372206622166,0.06088618321165386
cap_gas-ct,0.9015907731398635,3882.1946862040777,3025.7888166085804,0.06266480354228238
cap_hydUD,0.30211839861506773,0.9209090430689492,0.38341505365641443,0.15348484051149153
cap_nuclear,-0.05846311706562224,3.8296412043727344,0.5567718584720901,0.04662002098697298
cap_nuclear-smr,0.15497233247646225,234.5608932804989,71.31736572519779,0.08138486538217805
cap_o-g-s,0.490850382408628,284.4815604699496,205.58855998359695,0.23207472028674306
cap_pumped-hydro,0.39617608926626025,89.81563347965034,28.751839959488578,0.0663904084382967
gen_CoalOldScr,0.9023417599978947,483460.11322033295,322174.49580636417,0.059340659277624254
gen_CoalOldScr_coal-CCS_mod,0.6400145838615654,545587.4236901464,386372.0625890449,0.15048019183106245
gen_Gas-CC_Gas-CC-CCS_mod,0.2850620204994093,5800905.748425223,1896356.0318451212,0.08455292585085988
gen_Gas-CC_H2-CC,0.2806096507260267,164084.21822316755,54385.247231521185,0.057314246699339204
gen_H2-CC,0.740389976764203,219227.67499252578,96818.80774650174,0.06752490721591976
gen_H2-CT,0.7978774367250954,374135.8843133708,157892.7307701193,0.049281472612082364
gen_battery_li,0.9209285510637527,873255.3952509699,620630.3780295578,0.0743417958314924
gen_coal-ccs_mod,0.9450800918534971,1961420.941121257,1026223.6204347964,0.05110641166466759
gen_distpv,0.9999999846092461,221.71783048140756,157.70420894104942,5.171381727146345e-05
gen_gas-cc,0.984798714605264,16257996.517405026,11862627.992695037,0.03842503744733456
gen_gas-cc-ccs_mod,0.7607676622863987,11868512.635392454,5035119.836254962,0.06131146069811214
gen_gas-ct,0.8460918548160183,6320867.08255919,4048796.858784067,0.05530382388757281
gen_hydED,0.9107163101081804,7759.3955527157295,4540.161815315688,0.09597917308287611
gen_hydEND,0.9999970487718497,0.627860978200468,0.40209676252274174,0.000509906872825486
gen_hydUD,0.3413633110585469,1741.6289370548047,738.9403255186268,0.1375376166598124
gen_lfill-gas,0.8063184854189013,3499.461936978567,2691.101178679365,0.07742123312420755
gen_nuclear,0.7940104891801636,385147.3465526332,291635.28427040676,0.07659971518458761
gen_nuclear-smr,0.1593494788353852,1763254.7146547353,537587.8913689163,0.0816917837363632
gen_o-g-s,0.6817686370823031,180265.58065073908,139059.43644025773,0.09519746756888049
gen_pumped-hydro,0.4044403134845136,53856.64437337843,17267.25127857636,0.06484470724264643
tran_AC_total,0.9741713243129864,1946.4419680916717,1430.125325214607,0.03507036698892133
tran_total,0.9741713243129864,1946.4419680916717,1430.1253252146068,0.03507036698892133
cost_inv_h2_production,-0.01775975937570129,12250128.42531921,3076806.594297192,0.05518325980471304
cost_inv_h2_storage,0.0404410419313892,7833805.567692602,1913947.3441777283,0.07520251212410368
cost_inv_investment_capacity_costs,0.8946611433595024,1905329393.9767802,1354191576.5643625,0.0565629544703174
cost_inv_investment_refurbishment_capacity,0.45221883855020784,503177159.87697476,236496510.62510553,0.07997351051377011
cost_inv_investment_spurline_costs_rsc_technologies,0.8613570367262586,497967441.93734956,375245199.4602037,0.09777983264551382
cost_inv_itc_payments_negative,0.022035693870527506,122.87584747263901,27.102281864361856,0.06330862941393377
cost_inv_transmission_interzone_ac_investment,0.8250802773681967,677902291.9146698,380625803.2440237,0.08900500519912942
cost_inv_transmission_intrazone_investment,0.8023512251734716,231704993.74636313,164582238.4561799,0.08452271006741657
cost_op_co2_incentive_negative,0.28623052187372866,74162412.16376832,24224405.85291504,0.08450197715541818
cost_op_co2_transport_storage,0.8338358488456586,52826565.32118871,33080797.29415603,0.06672314406398773
cost_op_consume_fom,0.8066529526706052,9514284.25138522,4563489.139746593,0.055818640063324564
cost_op_fom_costs,0.9734309519154767,123519199.95888746,94668318.62337829,0.03717061258649139
cost_op_fuelcosts_objfn,0.9643077184700342,326231558.50034076,240669565.92814845,0.041011186813932454
cost_op_h2_storage,0.8269133760490653,2976737.120845322,1545866.4704115235,0.056054649906237826
cost_op_h2_transport_intrareg,0.8228201664337667,11480011.012973601,5285067.486621607,0.050266753063927055
cost_op_ptc_payments_negative,0.9372110229632515,132388070.033227,77865328.25875811,0.047478860350697566
cost_op_spurline_fom,0.9921864069998664,11545621.701738695,9159557.755437275,0.019998125578643774
cost_op_startcost,0.8501370643804546,65750211.05687678,48923721.904173374,0.07668753915092692
cost_op_transmission_fom,0.9678397413689899,26078525.80725787,18839421.16752464,0.03668102567985413
cost_op_transmission_intrazone_fom,0.986344745643139,5628378.108553811,4289024.2794749085,0.026745661502194627
cost_op_vom_costs,0.9777044686387828,46784660.91845272,35107893.711564854,0.030671447135422285
cost_total,0.8884768750879177,2855832417.489869,2058166720.8321733,0.06483651100049961
runtime_seconds,0.7118999915470084,141.2926621207536,112.41434242349372,0.09041564034220918
cap_upv,0.9658536738359238,4915.04786242671,3711.347890069439,0.04051801282227559
cap_wind-ons,0.9876443213712855,3434.0753634957327,2689.7551873030875,0.02542005389188428
gen_upv,0.9631375502283647,12098622.425657691,9057377.141874852,0.04227775795401654
gen_wind-ons,0.989507651198621,10588671.533268744,8298791.950920752,0.02066012576824499
