output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.7705493849997931,231.0406472262578,165.79590178474982,0.0987786580415453
cap_CoalOldScr_coal-CCS_mod,0.6745931331667732,986.9153357288131,670.9475882579313,0.14307054760453827
cap_Gas-CC_Gas-CC-CCS_mod,0.5101980635094324,663.4028232687474,154.79067994866654,0.07097409798112748
cap_Gas-CC_H2-CC,0.3697694538177061,177.94228343216116,74.13367093717497,0.0892831540188748
cap_H2-CC,0.8150236856143889,352.07675630706416,143.38961677907244,0.05699822470119298
cap_H2-CT,0.8631626569322521,585.6915061343221,214.5198243923002,0.040548854940789365
cap_battery_li,0.897433438786303,2846.1572742950248,2109.007330833784,0.08048057099145112
cap_coal-ccs_mod,0.9164136254576556,460.6966368673899,314.3142631168988,0.07600841519104926
cap_electrolyzer,0.8919760673180728,400.50529715611066,174.3033778137051,0.04172251421207662
cap_gas-cc,0.9706780023572329,3241.648883703915,2444.166285332819,0.04278140215676294
cap_gas-cc-ccs_mod,0.8539897131843361,1598.2084584184015,851.1368542639141,0.0513856708462764
cap_gas-ct,0.9298639064700671,3277.4055683079655,2526.1086464206533,0.052902544222277255
cap_hydUD,0.2329832462091348,0.9654466686070694,0.3531846437606709,0.16090777810117823
cap_nuclear,-2.157473185442873,6.614393955662369,1.534544088734569,0.08052012409856928
cap_nuclear-smr,0.6272052807323374,155.79553914848162,41.94883012614008,0.05405589483998259
cap_o-g-s,0.4619889508446646,292.4334231456345,193.4711562771589,0.2385617006842409
cap_pumped-hydro,0.17103588676669412,105.23607674881649,30.940634676175346,0.0777889755615969
gen_CoalOldScr,0.9128059867535487,456824.65662589227,336408.87496078946,0.05607138118982816
gen_CoalOldScr_coal-CCS_mod,0.636001627112531,548619.9782669378,413834.28425585094,0.15131661029424334
gen_Gas-CC_Gas-CC-CCS_mod,-0.49290911703448814,8382591.64236014,1721642.950115715,0.12218310041788316
gen_Gas-CC_H2-CC,0.1924288449596211,173850.08512825775,66402.42367098597,0.06072544194463686
gen_H2-CC,0.8137868687110213,185669.17236738504,75429.99799188049,0.057188462348066814
gen_H2-CT,0.8631626707585762,307839.4400748865,112751.62757676389,0.040548852892876915
gen_battery_li,0.9545300715942261,662206.6903993648,477287.2667399775,0.05637484159118134
gen_coal-ccs_mod,0.9296000773938625,2220710.763201005,1508157.292149593,0.05786241804241677
gen_distpv,-0.6497772926922383,2295531.9147716057,2077992.9292053494,0.5354134925619618
gen_gas-cc,-0.7984814914264902,176839735.32045397,153400311.20308712,0.417952694515016
gen_gas-cc-ccs_mod,-0.558112396064661,30289056.533555266,14652187.834864689,0.15647001071575833
gen_gas-ct,-0.5411257675035579,20001607.316489156,13362271.738435239,0.1750021561996903
gen_hydED,0.9305007052213221,6845.923239523871,3477.9930533991774,0.08468005620468433
gen_hydEND,0.9999998215072071,0.15440894029330854,0.1535238683101081,0.00012540065813123252
gen_hydUD,0.37855338529756166,1691.7437690101156,618.5803000879442,0.13359815115509743
gen_lfill-gas,-0.4232100502609577,9486.187157327195,7554.347542226337,0.20987006591116142
