output,r2,rmse,mae,nrmse
cap_CoalOldScr,0.8038450057621566,213.62076425775714,144.22499339455896,0.09133099598066052
cap_CoalOldScr_coal-CCS_mod,0.7196314257206684,916.0753717252749,604.8492791010418,0.13280106239607561
cap_Gas-CC_Gas-CC-CCS_mod,0.29925293373918593,793.5014242971732,163.61694379840537,0.08489268640543168
cap_Gas-CC_H2-CC,0.5526489296817578,149.91796391142796,46.01221969103936,0.07522185510900842
cap_H2-CC,0.8492265798668357,317.86425060148986,93.51479924045348,0.05145951175617701
cap_H2-CT,0.8818734961432703,544.1771283935252,140.6762135824097,0.03767471307030328
cap_battery_li,0.9255427559379406,2424.9873420933613,1723.1961200983264,0.06857118111544139
cap_coal-ccs_mod,0.9253822399549382,435.27968783851384,264.80483781742316,0.07181497885990312
cap_electrolyzer,0.9182468127225318,348.41802864032445,104.30770607215595,0.03629633928667717
cap_gas-cc,0.9525124134763072,4125.335219357504,3187.491372046238,0.0544437819709629
cap_gas-cc-ccs_mod,0.8716989291732572,1498.1553114186288,690.3568942718313,0.048168757525749804
cap_gas-ct,0.892766750840119,4052.5103577759087,3203.840429953381,0.06541396966142318
cap_hydUD,0.4214448554678365,0.8384906864169012,0.26374632569077017,0.1397484477361502
cap_nuclear,-0.3619588176269064,4.34412397046592,0.5821377413768317,0.05288306132749198
cap_nuclear-smr,0.2065389829669778,227.2913665993854,49.46189170623867,0.07886258026439812
cap_o-g-s,0.5991445208729416,252.42090685396306,158.321303953348,0.2059202405100962
cap_pumped-hydro,0.5614070488654891,76.54690010037257,16.334167692174592,0.0565823539339692
cap_upv_2,0.8572685974015037,241.02198025424482,94.91217439801808,0.05183176889985717
cap_upv_3,0.96781012824244,4228.761329943506,2899.738626783659,0.04033546956240933
cap_upv_4,0.9718717772838137,3059.025012835269,2332.2438792452454,0.03618121134211016
cap_upv_5,0.5224790815189406,1196.5511711217562,878.3647550532794,0.13997713745746035
cap_wind-ons_10,0.9917140066293029,2582.658925451605,1935.4824049948033,0.023396282571402752
cap_wind-ons_3,0.7995864580619149,389.44154842899417,137.68760413176878,0.0583170932058991
cap_wind-ons_4,-0.2533098290548792,154.21919765049063,22.195612543471576,0.05299628785240228
cap_wind-ons_5,0.9623872226295418,290.75181528415294,160.32007636499546,0.07878577591220297
cap_wind-ons_6,0.9368698830858654,1359.1586629086398,954.1726965853026,0.048587677505118575
cap_wind-ons_7,0.9764962084532481,1467.6816539410208,911.9822730644352,0.04311131635357246
cap_wind-ons_8,0.9907740956532447,976.35239826908,657.8051432972801,0.02947169751192765
cap_wind-ons_9,0.9552832958172375,1555.6533897188242,1125.8016521383038,0.04828205879956948
gen_CoalOldScr,0.9271186242869058,417651.9214305203,245329.1630961164,0.05126325768876535
gen_CoalOldScr_coal-CCS_mod,0.7197436109890758,481392.8754090899,317860.54421745054,0.13277449056231774
gen_Gas-CC_Gas-CC-CCS_mod,0.26869380076685767,5866934.671748824,1206266.4928345364,0.08551535118578421
gen_Gas-CC_H2-CC,0.371155105487342,153410.92132987373,40696.37004714621,0.05358608820937688
gen_H2-CC,0.8493421810315692,167005.3899968034,49168.5910181585,0.05143978042223509
gen_H2-CT,0.8818422913799836,286057.2742114856,74097.54405059684,0.03767968889274611
gen_battery_li,0.9411626829551253,753282.4675114551,533484.8324447016,0.06412828561693013
gen_coal-ccs_mod,0.9565333808719554,1744953.4165467545,749806.7950029694,0.04546617494087086
gen_distpv,1.0,8.323212166468282e-08,7.793981842543362e-08,1.94131916298205e-14
gen_gas-cc,0.9902695400660981,13007491.60301133,9578065.883966804,0.03074261649684352
gen_gas-cc-ccs_mod,0.8243076876061215,10170978.443842027,3511992.172971905,0.052542181508184065
gen_gas-ct,0.8692447037091531,5826067.34355896,3416876.032289497,0.05097462074694824
gen_hydED,0.9367058776163228,6533.163358110139,2813.0282798913254,0.08081139986571444
gen_hydEND,1.0,1.295426233509251e-09,1.1342110058653012e-09,1.0520589153318838e-12
gen_hydUD,0.470233570525307,1561.9779163137487,494.91419235873275,0.12335045388505318
gen_lfill-gas,0.8280389563168207,3297.4044825058245,2403.550173250824,0.07295096381739956
gen_nuclear,0.8419679802508309,337347.0388596305,243921.71770547354,0.06709299006290931
gen_nuclear-smr,0.20716166597055918,1712377.9648021953,371972.26811275375,0.07933465835248094
gen_o-g-s,0.7397425836890765,163020.74721494853,117722.16530058056,0.08609054618206784
gen_pumped-hydro,0.5678083351869171,45879.094480587955,9996.582275187544,0.05523954350973276
gen_upv_2,0.8373327103444226,645620.5710177071,254347.39100496803,0.056100920981208544
gen_upv_3,0.9706495735116872,10197773.15671014,7131646.848141584,0.03971851499936482
gen_upv_4,0.9651873485117595,7958822.105911533,6090198.614933786,0.04042580639458973
gen_upv_5,0.6319400597266354,2534810.847682523,1805824.6474243256,0.11021263539164057
gen_wind-ons_10,0.990534488921911,11147515.544091625,7984062.225399524,0.02459550273377371
gen_wind-ons_3,0.7899510235490476,1048417.8209757486,370166.01617834845,0.05890549374761633
gen_wind-ons_4,-0.22331120097769408,279112.8966308405,41235.14232619989,0.053106719188617015
gen_wind-ons_5,0.9661423001759263,597970.3548144628,313789.50564197527,0.05919746237040904
gen_wind-ons_6,0.9454117592766375,3595894.2718018056,2491943.430424659,0.04183595658074801
gen_wind-ons_7,0.9802525788953119,4477908.094801505,2665855.118354278,0.038556425836209544
gen_wind-ons_8,0.9906293229151051,3161121.1616531056,2094258.2160164814,0.02882869017978938
gen_wind-ons_9,0.956514471558427,5351020.992343936,3927291.239308682,0.04635741285892652
tran_AC_total,0.9745745316796562,1931.1894089340808,1268.8456908526257,0.03479555127083373
tran_total,0.9745745316796562,1931.1894089340808,1268.8456908526257,0.03479555127083373
cost_inv_h2_production,0.007900886985301891,12094712.089503473,2343276.32416583,0.054483154488307525
cost_inv_h2_storage,-0.09233515564828343,8358241.432012612,1518408.1062329311,0.08023696110347207
cost_inv_investment_capacity_costs,0.9105881076116598,1755389154.4396257,1230219360.3757784,0.052111722589352726
cost_inv_investment_refurbishment_capacity,0.540615094317072,460792852.3104421,190838444.83624437,0.07323707226283734
cost_inv_investment_spurline_costs_rsc_technologies,0.893117420475558,437225512.919886,305905944.14053184,0.08585267606116728
cost_inv_itc_payments_negative,0.0573917934694671,120.63425107292476,16.21514203377837,0.06215370435189732
cost_inv_transmission_interzone_ac_investment,0.8730757722666707,577457434.4487185,296204518.67944473,0.0758171237483493
cost_inv_transmission_intrazone_investment,0.8322174279555381,213482241.64787954,137259044.55185127,0.07787530740532048
cost_op_co2_incentive_negative,0.25872518429057634,75577841.31773543,15542376.423589911,0.08611474241674116
cost_op_co2_transport_storage,0.9209487075135185,36436629.40821834,22416695.626297936,0.046021664638407685
cost_op_consume_fom,0.9183256536395091,6183725.234283848,1850573.9760213979,0.03627883338178942
cost_op_fom_costs,0.9803146509486971,106320750.26672924,77318883.94160914,0.03199508594117427
cost_op_fuelcosts_objfn,0.9711536587073933,293281173.03736717,223866247.40697458,0.036868931478412297
cost_op_h2_storage,0.9436510557782409,1698445.5222036468,468083.930013177,0.03198326397895242
cost_op_h2_transport_intrareg,0.9236591135032459,7535529.240654056,2205013.6672326317,0.032995315694200215
cost_op_ptc_payments_negative,0.9664254570900103,96808212.5934514,44278786.71552861,0.03471871449875749
cost_op_spurline_fom,0.9925909118737257,11242795.493611462,8650692.512911139,0.01947360150405705
cost_op_startcost,0.8776571065269615,59407244.275835946,43876283.99160775,0.06928944102264384
cost_op_transmission_fom,0.9756074398753731,22711821.34335031,13658931.770821232,0.031945551987445364
cost_op_transmission_intrazone_fom,0.9865076392523205,5594706.913611155,4201273.021994954,0.02658565832455771
cost_op_vom_costs,0.9791714803109719,45219293.75609694,33655683.11187663,0.029645211714983778
cost_total,0.8975132833763838,2737688577.924667,1941688958.6349397,0.06215426875592727
runtime_seconds,0.7574536061983923,129.64189878757065,102.03831947394337,0.08296011355522724
