project_id,proponent,project_name,technology,capacity_mw,online_year_candidate,interconnection_voltage_kv,region,longitude,latitude,nearest_region_distance_km,mapping_method,mapping_confidence,source_project_geometry,source_2021_real_lcoe_usd_per_mwh,source_first_year_interconnection_nominal_usd_per_mwh,source_contract_status,municipality_fallback,note
AJ-1-P,"Solarblue Bemoga, LLC",Bemoga,upv,25.0,2025,38.0,pr41,-66.3266530735119,18.451762823606614,6.867994219864782,exhibit_2_centroid_nearest_retained_bus,high,Solarblue Bemoga,77.7,1.2,Executed PPOA,,
AD-1-P,Putnam Bridge,Ciro Two Salinas,upv,33.0,2025,115.0,pr97014,-66.22564846830907,18.00408039840044,4.915373717561534,exhibit_2_centroid_nearest_retained_bus,high,Putnam Bridge Ciro Two Salinas,82.3,4.6,Executed PPOA,,
I-1-P,"Convergent E&P, LLC",Coamo Solar,upv,100.0,2025,115.0,pr296,-66.3816358687704,18.05128580135208,3.495544984307462,exhibit_2_centroid_nearest_retained_bus,high,Convergent Coamo Solar,84.2,6.8,Executed PPOA,,
AQ-1-P,Uriel/Canadian Solar,Cabo Rojo,upv,100.0,2025,115.0,pr1206,-65.87860244308084,18.21724502899468,3.9288072504810283,exhibit_2_centroid_nearest_retained_bus,low,CS/UR Juncos,84.7,3.4,Executed PPOA,,PR100 table says Cabo Rojo; Exhibit 2 geometry is labeled CS/UR Juncos.
W-3-P,Pattern Energy,Pattern Barceloneta Solar,upv,60.0,2025,115.0,pr167,-66.59775808737535,18.427204493787347,0.8012489461812037,exhibit_2_centroid_nearest_retained_bus,high,Pattern Barceloneta,85.1,4.5,Executed PPOA,,
O-2-P,Diverxia Infrastructure,Diversys Mayaguez,upv,25.0,2025,38.0,pr428,-67.16680750168709,18.240221078606822,1.8354566908010388,exhibit_2_centroid_nearest_retained_bus,high,Diversys Mayaguez,85.3,13.5,Executed PPOA,,
O-1-P,Diverxia Infrastructure,Cabo Rojo,upv,20.7,2025,38.0,pr116,-67.13964577026034,18.127525748540396,0.40157038866735334,exhibit_2_centroid_nearest_retained_bus,high,Diverxia Cabo Rojo = Enerxia?,85.3,12.5,Executed PPOA,,
C-1-P,AES Puerto Rico,Salinas Solar,upv,120.0,2025,115.0,pr107,-66.20136819667569,17.975914235403046,4.033192624099117,exhibit_2_centroid_nearest_retained_bus,high,AES Salinas Solar,85.7,4.1,Executed PPOA,,
A-1-P,AES Puerto Rico,Jobos Solar,upv,80.3,2025,115.0,pr321,-66.15299995255836,17.954812070820022,0.9003839922328544,exhibit_2_centroid_nearest_retained_bus,high,AES Jobos,85.7,10.8,Executed PPOA,,
AB-1-P,Pattern Energy,Vega Baja,upv,25.0,2025,38.0,pr97064,-66.4018267634056,18.428407148226064,1.9814269795309225,exhibit_2_centroid_nearest_retained_bus,high,Pattern Vega Baja,86.0,9.1,Executed PPOA,,
B-2-P,AES Puerto Rico,Naguabo Solar B,upv,20.0,2025,38.0,pr16,,,,municipality_highest_base_load_share_fallback,medium,,86.5,13.2,Executed PPOA,Naguabo,No matching project geometry in PR100 Exhibit 2.
B-1-P,AES Puerto Rico,Naguabo Solar A,upv,25.0,2025,38.0,pr16,,,,municipality_highest_base_load_share_fallback,medium,,86.5,13.2,Executed PPOA,Naguabo,No matching project geometry in PR100 Exhibit 2.
AK-1-P,"Sonnedix Solar PR, LLC",Yabucoa,upv,32.1,2025,115.0,pr14,,,,municipality_highest_base_load_share_fallback,medium,,86.7,10.3,Executed PPOA,Yabucoa,No matching project geometry in PR100 Exhibit 2.
AT-1-P,Energie (Go Green),Yabucoa Energy Park,upv,38.7,2025,115.0,pr14,,,,municipality_highest_base_load_share_fallback,medium,,86.7,5.7,Executed PPOA,Yabucoa,No matching project geometry in PR100 Exhibit 2.
AI-1-P,"Solaner PR One, LLC",Solaner San German,upv,35.0,2025,115.0,pr169,-67.01120432183347,18.07387453324427,0.2569226814473395,exhibit_2_centroid_nearest_retained_bus,high,Solaner San German PR One,86.9,6.3,Executed PPOA,,
N-1-P,"Coqui Power ETC, LLC",Esmerelda Solar Farm,upv,60.0,2025,115.0,pr296,-66.36464295501912,18.015172364419005,0.9249441632314119,exhibit_2_centroid_nearest_retained_bus,high,Coqui Power ETC Esmeralda,87.1,2.7,Executed PPOA,,
AS-1-P,"Yarotek PR, LLC",Tetris Power,upv,20.0,2025,38.0,pr440,-66.65897489099031,18.454261355227437,4.32157767532852,exhibit_2_centroid_nearest_retained_bus,high,Yarotek Tetris,87.7,11.5,Executed PPOA,,
AE-1-P,Putnam Bridge,Guayama Solar Energy,upv,25.0,2025,38.0,pr8,-66.12291491471207,17.962781538691136,1.7441373385309396,exhibit_2_centroid_nearest_retained_bus,high,Putnam Bridge Guayama,88.0,8.6,Executed PPOA,,
