r,rr,MW_forward,MW_reverse,un_derated_pairwise_ttc_mw,unbounded_screen_applied,unbounded_screen_mw,contingency_derate,binding_branch_type,binding_branch_name,binding_branch_from_bus,binding_branch_to_bus,binding_branch_rate_mw,binding_transaction_factor,method
pr10,pr21,175.27630432105167,175.27630432105167,175.27630432105167,False,5000.0,1.0,MonitoredLine,CAYEY 115   -10_CAGUAS 115  -21~1,10,21,116.19999999999999,0.6629532751167422,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr10,pr275,217.68496135466484,217.68496135466484,217.68496135466484,False,5000.0,1.0,MonitoredLine,CAYEY 115   -10_CAGUAS 115  -21~1,10,21,116.19999999999999,0.5337989325348033,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr10,pr8,308.0070864181843,308.0070864181843,308.0070864181843,False,5000.0,1.0,MonitoredLine,CAYEY 115   -10_CAGUAS 115  -21~1,10,21,116.19999999999999,0.3772640472376473,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr100,pr32,469.40292837633166,469.40292837633166,469.40292837633166,False,5000.0,1.0,TapTransformer,MAY TC 115  -277_starbus_277_232_222_1-1000022~1,277,1000022,37.0,-0.0788235389327103,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr100,pr335,470.04819727140557,470.04819727140557,470.04819727140557,False,5000.0,1.0,MonitoredLine,AGUADILLA115-32_AÑASCO 115  -231~1,32,231,116.19999999999999,0.24720869194804332,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr100,pr35,188.16583933319134,188.16583933319134,188.16583933319134,False,5000.0,1.0,MonitoredLine,SSEBASTIA115-35_MAY TC 115  -277~1,35,277,116.19999999999999,-0.6175403591416021,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr100,pr352,367.42806703820054,367.42806703820054,367.42806703820054,False,5000.0,1.0,TapTransformer,MAY TC 115  -277_starbus_277_232_222_1-1000022~1,277,1000022,37.0,0.10069998271567318,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr100,pr97021,5000.0,5000.0,,True,5000.0,1.0,unrated_placeholder_path,,,,,,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr101,pr16,129.47266914816964,129.47266914816964,129.47266914816964,False,5000.0,1.0,MonitoredLine,R.BLANCO 115-16_DAGUAO 115  -101~1,16,101,116.19999999999999,-0.8974867110140419,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr101,pr18,137.86581691412331,137.86581691412331,137.86581691412331,False,5000.0,1.0,MonitoredLine,FAJARDO 115 -18_DAGUAO 115  -101~1,18,101,116.19999999999999,-0.8428485218520921,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr101,pr3000,5000.0,5000.0,,True,5000.0,1.0,unrated_placeholder_path,,,,,,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr102,pr153,289.9276535852201,289.9276535852201,289.9276535852201,False,5000.0,1.0,MonitoredLine,BARCLONET115-102_ROCHE       -452~1,102,452,184.6,0.6367105645744807,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr102,pr167,243.94188775035687,243.94188775035687,243.94188775035687,False,5000.0,1.0,MonitoredLine,BARCLONET115-102_UPJOHN115   -167~1,102,167,231.1,0.9473567747270247,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr102,pr343,116.19999999999999,116.19999999999999,116.19999999999999,False,5000.0,1.0,MonitoredLine,BARCLONET115-102_ABBOTT 115  -343~1,102,343,116.19999999999999,1.0,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr102,pr40,350.50367662176103,350.50367662176103,350.50367662176103,False,5000.0,1.0,MonitoredLine,BARCLONET115-102_UPJOHN115   -167~1,102,167,231.1,0.6593368783671474,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr102,pr452,277.09787188083504,277.09787188083504,277.09787188083504,False,5000.0,1.0,MonitoredLine,BARCLONET115-102_ROCHE       -452~1,102,452,184.6,0.6661906089245845,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr1025,pr185,186.7340277098136,186.7340277098136,186.7340277098136,False,5000.0,1.0,MonitoredLine,SUN OIL     -185_J MARTIN SEC-1025~1,185,1025,184.6,-0.988571832697092,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
pr1025,pr334,212.53737287040988,212.53737287040988,212.53737287040988,False,5000.0,1.0,MonitoredLine,MAUNABO TAP -334_J MARTIN SEC-1025~1,334,1025,184.6,-0.868553127889446,dc_pairwise_retained_bus_transaction_n0_continuous_ratings
