region,reference_year,peak_mw,energy_mwh
pr2,2022,50.33472339028012,324367.640913658
pr3,2022,85.61763039803922,581402.1471203296
pr5,2022,2.662656229615387,18264.618830694628
pr8,2022,62.520013705909086,424434.3841933575
pr10,2022,84.91256774200001,581930.0645823682
pr14,2022,74.51753907315384,508494.8819087222
pr16,2022,14.91967482,94426.60642867899
pr18,2022,42.2068309652,289793.996976395
pr21,2022,154.90150510145165,1034001.5994634728
pr23,2022,5.38702269,32162.423337350003
pr29,2022,51.25541938794202,348981.0386832465
pr32,2022,70.48601342475,461274.5238618364
pr35,2022,33.95219203841667,209916.50173280475
pr38,2022,20.038960949270834,129016.8784971793
pr40,2022,32.492390929375,218450.58982591407
pr41,2022,59.4387041725,390927.276665285
pr45,2022,143.4580027126855,948747.0948261751
pr50,2022,86.643706401891,587712.3924913846
pr63,2022,34.64743833447415,235223.7645087611
pr82,2022,81.2280528782473,528642.1868300661
pr83,2022,7.644446075,46776.875588762494
pr84,2022,133.99238503951614,907885.3934651316
pr85,2022,142.09306633185486,947342.5397051214
pr86,2022,50.62085129032259,336542.2884874646
pr87,2022,273.84937869375466,1860846.9124731787
pr88,2022,16.8736170967742,112180.76282915489
pr93,2022,113.2125909632353,731579.6277074966
pr96,2022,3.987169196285715,25640.26292207552
pr99,2022,0.0,0.0
pr100,2022,59.05195690979166,376664.94062958873
pr101,2022,13.8047460314,84263.564614244
pr102,2022,44.04370857910461,299953.36013787193
pr103,2022,30.766859569480392,207104.0038040058
pr106,2022,10.441044918000001,66495.29326072561
pr107,2022,0.0,0.0
pr111,2022,3.8232594533333324,25415.528522527766
pr116,2022,40.64402875547826,259945.41273863366
pr120,2022,0.0,0.0
pr127,2022,4.21840427419355,28045.190707288722
pr149,2022,5.28070688,31884.460741093
pr153,2022,45.65198411529412,309603.41262368823
pr167,2022,2.499414686875,16803.891525070314
pr169,2022,62.86914712816667,397538.43574044644
pr175,2022,5.98296399625,37463.44695794125
pr177,2022,7.544400355,47167.57634492
pr184,2022,0.0,0.0
pr185,2022,2.449945683333333,14995.548433593
pr190,2022,3.8232594533333324,25415.528522527766
pr196,2022,0.0,0.0
pr204,2022,0.0,0.0
pr211,2022,31.46212302,197815.6217290779
pr213,2022,17.4249809215,113301.46440740948
pr231,2022,36.4614132257971,245825.95407402606
pr232,2022,0.0,0.0
pr233,2022,2.662656229615387,18264.618830694628
pr234,2022,104.14879829999998,703791.7018570707
pr266,2022,8.86875087,59864.14623328899
pr271,2022,7.646518906666665,50831.05704505553
pr275,2022,7.268142133,43614.057831768
pr277,2022,0.0,0.0
pr280,2022,4.21840427419355,28045.190707288722
pr281,2022,5.98296399625,37463.44695794125
pr290,2022,0.0,0.0
pr294,2022,0.0,0.0
pr296,2022,35.761657113,233539.73177760234
pr310,2022,10.5911969025,64231.141977152496
pr313,2022,63.44665012588235,430312.41764171177
pr319,2022,1.6850056042857147,10715.496815931718
pr321,2022,1.8484255663636362,12656.005284297273
pr334,2022,0.0,0.0
pr335,2022,54.67494765270833,358538.0556749468
pr343,2022,2.8590188781818187,19367.004575504547
pr352,2022,2.96301339875,18516.50765284375
pr353,2022,16.3456100115,102417.0670095565
pr363,2022,0.0,0.0
pr378,2022,56.34698491988234,372381.8158704109
pr392,2022,46.402447016129045,308497.09778017586
pr400,2022,7.644446075,46776.875588762494
pr428,2022,3.372819283043478,22925.768903349133
pr440,2022,7.498244060625,50411.674575210935
pr441,2022,0.0,0.0
pr442,2022,3.2608560082352938,22114.529473120583
pr451,2022,0.0,0.0
pr452,2022,3.2608560082352938,22114.529473120583
pr480,2022,5.98296399625,37463.44695794125
pr489,2022,1.6850056042857147,10715.496815931718
pr492,2022,3.139836696470588,20027.316659478238
pr545,2022,9.936246427586207,65026.57419644758
pr555,2022,12.13717601,72538.544057017
pr583,2022,5.5734361258064515,37549.42959964161
pr632,2022,21.092021370967753,140225.95353644362
pr902,2022,2.499414686875,16803.891525070314
pr956,2022,0.0,0.0
pr1025,2022,2.449945683333333,14995.548433593
pr1027,2022,0.0,0.0
pr1040,2022,4.9681232137931035,32513.28709822379
pr1077,2022,0.0,0.0
pr1078,2022,0.0,0.0
pr1079,2022,0.0,0.0
pr1102,2022,0.0,0.0
pr1103,2022,0.0,0.0
pr1104,2022,0.0,0.0
pr1105,2022,0.0,0.0
pr1110,2022,0.0,0.0
pr1206,2022,5.848246769999999,39300.102325494285
pr1800,2022,0.0,0.0
pr1802,2022,0.0,0.0
pr2001,2022,0.0,0.0
pr2002,2022,0.0,0.0
pr2222,2022,0.0,0.0
pr3000,2022,0.0,0.0
pr3001,2022,0.0,0.0
pr7000,2022,0.0,0.0
pr7200,2022,0.0,0.0
pr97014,2022,0.0,0.0
pr97021,2022,0.0,0.0
pr97047,2022,2.662656229615387,18264.618830694628
pr97064,2022,0.0,0.0
pr97094,2022,0.0,0.0
pr97134,2022,0.0,0.0
pr97144,2022,0.0,0.0
