municipality,municipality_key,region,weight,weight_method,active_load_capacity_mw,mapped_bus_count
Adjuntas,adjuntas,pr103,0.5,active_standard_load_capacity,3.219226009,1
Adjuntas,adjuntas,pr169,0.5,active_standard_load_capacity,3.219226009,2
Aguada,aguada,pr32,1.0,active_standard_load_capacity,19.13150204,8
Aguadilla,aguadilla,pr100,0.3125,active_standard_load_capacity,16.091428321875,6
Aguadilla,aguadilla,pr32,0.6875,active_standard_load_capacity,35.401142308125,20
Aguas Buenas,aguas buenas,pr149,0.5,active_standard_load_capacity,5.264656705,1
Aguas Buenas,aguas buenas,pr21,0.5,active_standard_load_capacity,5.264656705,1
Aguas Buenas,aguas buenas,pr378,0.0,active_standard_load_capacity,0.0,1
Aguas Buenas,aguas buenas,pr451,0.0,active_standard_load_capacity,0.0,5
Aibonito,aibonito,pr10,1.0,active_standard_load_capacity,17.12907569,6
Añasco,anasco,pr231,1.0,active_standard_load_capacity,19.90243116,7
Arecibo,arecibo,pr102,0.09375,active_standard_load_capacity,7.4632952859375,4
Arecibo,arecibo,pr1110,0.0,active_standard_load_capacity,0.0,1
Arecibo,arecibo,pr167,0.03125,active_standard_load_capacity,2.4877650953125,1
Arecibo,arecibo,pr335,0.3125,active_standard_load_capacity,24.877650953125002,15
Arecibo,arecibo,pr38,0.03125,active_standard_load_capacity,2.4877650953125,3
Arecibo,arecibo,pr40,0.40625000000000006,active_standard_load_capacity,32.340946239062504,19
Arecibo,arecibo,pr440,0.09375,active_standard_load_capacity,7.4632952859375,4
Arecibo,arecibo,pr441,0.0,active_standard_load_capacity,0.0,3
Arecibo,arecibo,pr902,0.03125,active_standard_load_capacity,2.4877650953125,1
Arroyo,arroyo,pr8,1.0,active_standard_load_capacity,10.82993915,2
Barceloneta,barceloneta,pr102,0.9090909090909091,active_standard_load_capacity,28.651447099999995,22
Barceloneta,barceloneta,pr343,0.09090909090909093,active_standard_load_capacity,2.86514471,3
Barranquitas,barranquitas,pr353,1.0,active_standard_load_capacity,11.94954463,4
Bayamón,bayamon,pr1104,0.0,active_standard_load_capacity,0.0,1
Bayamón,bayamon,pr111,0.022222222222222216,active_standard_load_capacity,3.8089114333333334,1
Bayamón,bayamon,pr190,0.022222222222222216,active_standard_load_capacity,3.8089114333333334,1
Bayamón,bayamon,pr271,0.04444444444444443,active_standard_load_capacity,7.617822866666667,1
Bayamón,bayamon,pr378,0.22222222222222215,active_standard_load_capacity,38.089114333333335,15
Bayamón,bayamon,pr45,0.6444444444444445,active_standard_load_capacity,110.4584315666667,36
Bayamón,bayamon,pr63,0.04444444444444443,active_standard_load_capacity,7.617822866666667,2
Bayamón,bayamon,pr99,0.0,active_standard_load_capacity,0.0,1
Cabo Rojo,cabo rojo,pr116,0.8,active_standard_load_capacity,23.925624184,12
Cabo Rojo,cabo rojo,pr169,0.2,active_standard_load_capacity,5.981406046,2
Caguas,caguas,pr1027,0.0,active_standard_load_capacity,0.0,1
Caguas,caguas,pr21,1.0,active_standard_load_capacity,115.94969070000008,34
Caguas,caguas,pr8,0.0,active_standard_load_capacity,0.0,1
Camuy,camuy,pr100,0.6666666666666666,active_standard_load_capacity,10.727458873333333,2
Camuy,camuy,pr335,0.3333333333333333,active_standard_load_capacity,5.363729436666667,2
Canóvanas,canovanas,pr82,1.0,active_standard_load_capacity,28.54582475,21
Carolina,carolina,pr120,0.0,active_standard_load_capacity,0.0,1
Carolina,carolina,pr583,0.03225806451612903,active_standard_load_capacity,5.546111667741935,1
Carolina,carolina,pr8,0.0,active_standard_load_capacity,0.0,1
Carolina,carolina,pr82,0.16129032258064516,active_standard_load_capacity,27.730558338709677,5
Carolina,carolina,pr84,0.22580645161290322,active_standard_load_capacity,38.82278167419354,8
Carolina,carolina,pr85,0.5806451612903226,active_standard_load_capacity,99.83001001935484,29
Carolina,carolina,pr956,0.0,active_standard_load_capacity,0.0,1
Cataño,catano,pr45,0.1818181818181818,active_standard_load_capacity,5.365620910909091,2
Cataño,catano,pr63,0.7272727272727273,active_standard_load_capacity,21.462483643636368,11
Cataño,catano,pr632,0.0,active_standard_load_capacity,0.0,1
Cataño,catano,pr87,0.0909090909090909,active_standard_load_capacity,2.6828104554545456,2
Cayey,cayey,pr10,0.9333333333333332,active_standard_load_capacity,37.543237872,18
Cayey,cayey,pr378,0.06666666666666667,active_standard_load_capacity,2.6816598480000002,1
Ceiba,ceiba,pr101,0.8,active_standard_load_capacity,5.7607705048,6
Ceiba,ceiba,pr18,0.2,active_standard_load_capacity,1.4401926262,1
