new_sc_point_gid,donor_sc_point_gid,region,capacity_mw,class,cf
1640,160,pr100,13.073107158375,3,0.19306168
1641,1466,pr103,3.7705532947058815,4,0.19929782
1642,1634,pr107,120.0,5,0.20296995
1643,419,pr111,0.5345333332888887,1,0.18287948
1644,499,pr127,0.676851964104839,1,0.18200722
1645,1116,pr14,82.07088461538463,3,0.19101645
1646,804,pr149,0.450757312,1,0.18215382
1647,257,pr153,11.547612323058823,2,0.18885249
1648,419,pr190,0.5345333332888887,1,0.18287948
1649,1387,pr2,10.858064023870588,1,0.18592988
1650,497,pr271,1.0690666665777775,1,0.1808112
1651,764,pr29,7.082047071486955,1,0.18500876
1652,1392,pr3,11.688715213588235,1,0.18430041
1653,419,pr378,10.26316470632026,1,0.18287948
1654,326,pr38,4.39276045303125,2,0.18834226
1655,275,pr392,7.445371605153228,3,0.19575962
1656,250,pr40,4.63693750040625,3,0.19359472
1657,764,pr428,25.48364775843478,1,0.18500876
1658,181,pr442,0.8248294516470587,4,0.19760661
1659,497,pr45,15.50146666537778,1,0.1808112
1660,257,pr452,0.8248294516470587,2,0.18885249
1661,341,pr492,0.8653529413529412,2,0.19056092
1662,1193,pr5,0.4900384615384619,3,0.19205135
1663,500,pr50,9.475927497467744,1,0.18255089
1664,275,pr583,0.5457467791612903,3,0.19575962
1665,419,pr63,2.79977254928366,1,0.18287948
1666,499,pr632,3.3842598205241954,1,0.18200722
1667,1637,pr8,36.86485044375455,5,0.20298149
1668,275,pr84,19.387822628540324,3,0.19575962
1669,275,pr85,11.853997917217743,3,0.19575962
1670,499,pr86,8.122223569258066,1,0.18200722
1671,500,pr87,31.13519034882258,1,0.18255089
1672,499,pr88,2.707407856419356,1,0.18200722
1673,1633,pr97014,33.0,5,0.2027052
1674,1116,pr97047,0.4900384615384619,3,0.19101645
1675,183,pr97064,25.0,4,0.19702654
