asset_uuid,asset_type,asset_name,bus_number,region,available,status,capacity_mw,active_power_mw,fuel,prime_mover,reeds_tech_candidate,tech_mapping_confidence
4b79194d-382a-476f-b737-a82055a1a687,StandardLoad,load_1172~1,1172,pr8,False,True,1.6399999999999997,1.6399999999999997,,,load,high
ac3b22c4-1a62-4a64-9410-86673f0890cd,StandardLoad,Fajardo_load_613~1_demand_proj~new,613,pr18,True,True,2.7599555726666667,2.114202726,,,load,high
c08e3c3f-6dcf-478b-ba74-01942d47f097,StandardLoad,load_934~1,934,pr378,False,True,0.154,0.154,,,load,high
ee4f5804-d80e-4809-a0bb-6cbc66bfaad2,StandardLoad,load_426~1,426,pr14,False,True,0.063,0.063,,,load,high
d70ff427-0666-415c-ba8f-123335010a09,StandardLoad,Aguadilla_load_527~1_demand_proj~new,527,pr32,True,True,3.218285664375,2.51482391125,,,load,high
e6909bad-bc19-422f-8b68-fa0f3bb8863f,StandardLoad,load_356~1,356,pr85,False,True,28.441,28.441,,,load,high
f13db415-0372-4fb3-bffd-00e63b5b6d98,StandardLoad,Ponce_load_630~SL_demand_proj~new,630,pr313,True,True,2.7466712411764704,2.162378388235294,,,load,high
b6bb5027-94a6-492f-8402-62dfd04f93a6,StandardLoad,Vega Baja_load_1162~1_demand_proj~new,1162,pr41,True,True,4.177719204000001,3.421581247000001,,,load,high
36853e7c-0817-46f3-a340-cb70172f7059,StandardLoad,Toa Baja_load_934~1_demand_proj~new,934,pr378,True,True,3.129731799411765,2.522868304117647,,,load,high
18ca8a44-2e19-4927-9e9c-efcb014f772a,StandardLoad,Ponce_load_609~1_demand_proj~new,609,pr3,True,True,2.7466712411764704,2.162378388235294,,,load,high
10af7b60-a4d3-4a6f-8bae-e295d5f62b6d,StandardLoad,load_592~1,592,pr102,False,True,0.43099999999999994,0.43099999999999994,,,load,high
288e5de2-8edb-4502-96e7-76467674d1a7,StandardLoad,load_298~1,298,pr32,False,True,0.341,0.341,,,load,high
24a760e0-0fc4-4481-ae3f-b266e953fab2,StandardLoad,Peñuelas_load_489~1_demand_proj~new,489,pr489,True,True,1.6820572242857144,1.3528431705714283,,,load,high
e18638ea-5032-4ee7-95ec-fd48b2ca3c45,StandardLoad,load_813~1,813,pr88,False,True,6.175,6.175,,,load,high
7b932479-74ad-4a00-b807-9125e1a01a11,StandardLoad,San Juan_load_445~1_demand_proj~new,445,pr84,True,True,4.2455050137096775,3.1162709637096775,,,load,high
08be4698-6e13-40e7-bf54-c42161ba43bc,StandardLoad,load_90~1,90,pr378,False,True,5.15,5.15,,,load,high
