region,asset_type,reeds_tech_candidate,fuel,prime_mover,available,asset_count,capacity_mw,active_power_mw
,GenericBattery,battery_4,,BA,False,1,6.0,0.0
,HydroDispatch,hydED,,HY,False,2,12.0,6.0
,RenewableDispatch,upv,,PVe,False,2,57.980000000000004,53.95
,StandardLoad,load,,,False,6,16.195999999999998,16.195999999999998
,ThermalStandard,o-g-s,OTHER,OT,False,1,0.0,0.0
pr10,RenewableFix,dupv,,PVe,True,34,34.87340592461497,34.87340592461497
pr10,StandardLoad,load,,,False,34,68.97500000000001,68.97500000000001
pr10,StandardLoad,load,,,True,34,86.382421092,67.61609251116667
pr100,GenericBattery,battery_4,,BA,False,1,9.562,0.0
pr100,RenewableDispatch,upv,,PVe,False,1,24.48,20.42
pr100,RenewableDispatch,upv,,PVe,True,3,780.0557545414945,780.0557545414945
pr100,RenewableFix,dupv,,PVe,True,17,17.956441530000003,17.956441530000003
pr100,StandardLoad,load,,,False,19,32.751000000000005,32.751000000000005
pr100,StandardLoad,load,,,True,17,59.42347663670834,46.90108735525
pr101,RenewableDispatch,upv,,PVe,True,1,41.40713643039924,41.40713643039924
pr101,RenewableFix,dupv,,PVe,True,8,8.528650769722402,8.528650769722402
pr101,StandardLoad,load,,,False,8,19.237000000000002,19.237000000000002
pr101,StandardLoad,load,,,True,8,13.701915268799999,10.910366843199998
pr101,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,True,2,41.99999999999999,18.0
pr101,ThermalStandard,o-g-s,RESIDUAL_FUEL_OIL,IC,False,2,2.0,0.0
pr102,RenewableDispatch,upv,,PVe,False,2,40.0,40.0
pr102,RenewableFix,dupv,,PVe,True,15,13.94039223132986,13.94039223132986
pr102,StandardLoad,load,,,False,15,32.187,32.187
pr102,StandardLoad,load,,,True,15,44.886170400702206,34.59031835836898
pr1025,RenewableDispatch,upv,,PVe,True,1,100.0,100.0
pr1025,RenewableFix,dupv,,PVe,True,1,2.84028914,2.84028914
pr1025,StandardLoad,load,,,False,1,5.4,5.4
pr1025,StandardLoad,load,,,True,1,2.4504860216666664,1.9522838349999998
pr103,RenewableFix,dupv,,PVe,True,11,8.405499223286682,8.405499223286682
pr103,StandardLoad,load,,,False,11,31.063000000000006,31.063000000000006
pr103,StandardLoad,load,,,True,11,30.68593842076471,24.160324670852937
pr1040,RenewableFix,dupv,,PVe,True,1,4.669145304944062,4.669145304944062
pr1040,StandardLoad,load,,,False,1,10.5,10.5
pr1040,StandardLoad,load,,,True,1,4.96737684137931,3.925511120689655
pr106,RenewableFix,dupv,,PVe,True,12,6.072158739999999,6.072158739999999
pr106,StandardLoad,load,,,False,12,53.132,53.132
pr106,StandardLoad,load,,,True,12,10.456165104,8.259543762000002
pr106,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,CA,False,1,96.0,96.0
pr106,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,CA,True,1,95.9,24.0
pr106,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,CT,False,3,150.0,126.0
pr106,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,CT,True,5,250.0,153.701
pr106,ThermalStandard,o-g-s,RESIDUAL_FUEL_OIL,ST,True,2,900.0,423.665
pr107,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,True,2,41.99999999999999,21.0
pr111,RenewableFix,dupv,,PVe,True,1,6.187810450000001,6.187810450000001
pr111,StandardLoad,load,,,False,1,16.195,16.195
pr111,StandardLoad,load,,,True,1,3.8089114333333334,2.9982147755555553
pr116,RenewableFix,dupv,,PVe,True,13,16.194315212642035,16.194315212642035
pr116,StandardLoad,load,,,False,14,24.081999999999997,24.081999999999997
pr116,StandardLoad,load,,,True,13,40.8032516666087,32.144738318
pr1206,RenewableDispatch,upv,,PVe,True,1,100.0,100.0
pr1206,RenewableFix,dupv,,PVe,True,1,9.18578573,9.18578573
pr1206,StandardLoad,load,,,False,1,14.829999999999998,14.829999999999998
pr1206,StandardLoad,load,,,True,1,5.828623982857143,4.609125252857143
pr127,RenewableFix,dupv,,PVe,True,1,10.77493065,10.77493065
pr127,StandardLoad,load,,,False,1,25.588,25.588
pr127,StandardLoad,load,,,True,1,4.2455050137096775,3.1162709637096775
pr14,RenewableDispatch,upv,,PVe,True,1,76.86,76.86
pr14,RenewableFix,dupv,,PVe,True,29,27.733479153864845,27.733479153864845
pr14,StandardLoad,load,,,False,29,88.322,88.322
pr14,StandardLoad,load,,,True,29,75.66209254335894,59.5540131003846
pr149,RenewableFix,dupv,,PVe,True,1,4.59345055,4.59345055
pr149,StandardLoad,load,,,False,1,50.0,50.0
pr149,StandardLoad,load,,,True,1,5.264656705,4.1745952915
pr153,RenewableFix,dupv,,PVe,True,14,13.403047438166555,13.403047438166555
pr153,StandardLoad,load,,,False,14,24.481,24.481
pr153,StandardLoad,load,,,True,14,45.76872288470588,34.83389894352941
pr16,HydroDispatch,hydED,,HY,False,1,5.000000000000001,0.0
pr16,RenewableFix,dupv,,PVe,True,7,5.649108753848555,5.649108753848555
pr16,StandardLoad,load,,,False,7,9.533999999999997,9.533999999999997
pr16,StandardLoad,load,,,True,7,14.898267029999998,11.84420938
pr167,RenewableDispatch,upv,,PVe,True,1,38.7,38.7
pr167,RenewableFix,dupv,,PVe,True,1,0.69188057,0.69188057
pr167,StandardLoad,load,,,False,1,1.8370000000000002,1.8370000000000002
pr167,StandardLoad,load,,,True,1,2.4877650953125,1.973074855
pr169,HydroDispatch,hydED,,HY,True,1,20.0,0.0
pr169,RenewableDispatch,upv,,PVe,True,1,50.0,50.0
pr169,RenewableDispatch,wind-ons,,WT,True,1,12.887399,12.887399
pr169,RenewableFix,dupv,,PVe,True,25,28.93046519938318,28.93046519938318
pr169,StandardLoad,load,,,False,25,57.65500000000001,57.65500000000001
pr169,StandardLoad,load,,,True,26,62.96443996366666,49.97459570810001
pr175,RenewableFix,dupv,,PVe,True,1,10.760428610000002,10.760428610000002
pr175,StandardLoad,load,,,False,1,23.395,23.395
pr175,StandardLoad,load,,,True,1,5.96920140125,4.72877376
pr177,RenewableFix,dupv,,PVe,True,1,3.517973370000001,3.517973370000001
pr177,StandardLoad,load,,,False,1,4.949,4.949
pr177,StandardLoad,load,,,True,1,7.5727502,5.958463473
pr18,RenewableFix,dupv,,PVe,True,16,14.698532845166799,14.698532845166799
pr18,StandardLoad,load,,,False,16,30.285999999999998,30.285999999999998
pr18,StandardLoad,load,,,True,16,42.83952621620001,32.85855132479999
pr18,ThermalStandard,o-g-s,OTHER_GAS,IC,True,3,4.0,1.8399999999999999
pr185,RenewableDispatch,upv,,PVe,True,1,35.0,35.0
pr185,RenewableFix,dupv,,PVe,True,1,0.68903311,0.68903311
pr185,StandardLoad,load,,,False,1,1.31,1.31
pr185,StandardLoad,load,,,True,1,2.4504860216666664,1.9522838349999998
pr190,RenewableFix,dupv,,PVe,True,1,18.53133649,18.53133649
pr190,StandardLoad,load,,,False,1,48.501,48.501
pr190,StandardLoad,load,,,True,1,3.8089114333333334,2.9982147755555553
pr2,HydroDispatch,hydED,,HY,False,1,8.0,1.7500000000000002
pr2,RenewableDispatch,upv,,PVe,True,2,162.81036533293985,162.81036533293985
pr2,RenewableDispatch,wind-ons,,WT,True,1,15.911399,15.911399
