branch_uuid,branch_type,branch_name,from_bus,to_bus,from_kv,to_kv,r_pu,x_pu,rate_input_pu,rate_mw_assuming_system_base,suspect_unlimited_rating,from_region,to_region,is_region_boundary
4564b5be-16bc-4379-8525-415f457a1bf0,Line,INABON      -692_HOSP SANCRIS-700~1,692,700,38.0,38.0,0.0006,0.0025,0.48,48.0,False,pr313,pr313,False
d7265087-72d3-40cc-86db-2e36875347fc,Line,0133        -34602_0131        -34603~1,34602,34603,38.0,38.0,0.071949,0.100976,0.2,20.0,False,pr8,pr8,False
801f45fb-e251-465c-b078-5a434306f09c,Line,BARTOLO     -647_INDIERA     -648~1,647,648,38.0,38.0,0.042,0.0494,0.204,20.4,False,pr169,pr169,False
95987e2d-0eb1-44d8-adc5-2c0fcfe4bae3,Line,BAY VIEW    -64_BACARDI 1877-465~1,64,465,38.0,38.0,0.002819,0.018723,0.76,76.0,False,pr63,pr63,False
dbc9098c-23ff-447d-a678-3c0d911c4dee,Line,CAPARRA SEC -65_TRIPLE S    -671~1,65,671,38.0,38.0,0.0067,0.020826,0.4,40.0,False,pr87,pr87,False
92e4dd12-7bcc-4832-9f67-d415a624e6d6,Line,VILLAMIL    -130_10600-15NO  -13001~1,130,13001,38.0,38.0,0.00138,0.00184,0.4,40.0,False,pr86,pr86,False
d9a2a602-0db2-48ae-b986-ba3d89628b20,Line,FLEXIBLEPACK-913_UPR BAYAMON -914~1,913,914,38.0,38.0,0.00298,0.00931,0.4,40.0,False,pr45,pr45,False
d7ec73e2-fc55-483c-aaf5-778727cfa7a4,Line,CERAMCO     -785_OWENS LP    -786~1,785,786,38.0,38.0,0.022757,0.025725,0.2,20.0,False,pr234,pr234,False
4aef770e-2eff-475a-aaa8-2a06446060b2,Line,TAFT        -133_MUSEOARTE PR-205~1,133,205,38.0,38.0,0.020768,0.025392,0.2,20.0,False,pr392,pr392,False
dfd77aac-3cd9-42df-886b-6c3d4306a30a,Line,BAIROA      -201_FERRERO     -654~1,201,654,38.0,38.0,0.022523,0.07469,0.48,48.0,False,pr21,pr21,False
508dd668-34c6-4377-accf-de6a3ed89778,Line,CDTSVILLALBA-329_CANARICO    -678~1,329,678,38.0,38.0,0.233322,0.28527,0.2,20.0,False,pr213,pr313,True
0807f691-f372-4bbb-97c1-80077e1e0a07,Line,AAA 3382    -572_ESC.VOC.SL  -1145~1,572,1145,38.0,38.0,0.007162,0.008756,0.19699999999999998,19.7,False,pr234,pr234,False
b4718667-f846-4fb4-ad45-a5c577811fe4,Line,VIRGENCITA  -263_AAA 9476    -601~1,263,601,38.0,38.0,0.005985,0.019846,0.48,48.0,False,pr93,pr93,False
9da71886-d25a-4bff-b190-b6a8c036b65d,Line,MOCA GIS    -1068_HEW PACKARD2-10682~1,1068,10682,38.0,38.0,0.0,0.001,1210.002566077499,121000.2566077499,True,pr100,pr100,False
aa99cfe8-f11f-452e-b72e-3784a06baf22,Line,AWNING      -573_USAF        -611~1,573,611,38.0,38.0,0.007136,0.031936,0.59,59.0,False,pr100,pr100,False
7cdc385a-3b08-4c5f-8496-b7662c0ea580,Line,COLISEO SEC -1048_HATOREYTCB2 -1154~1,1048,1154,38.0,38.0,0.0025,0.0033,0.81,81.0,False,pr87,pr87,False
97f248f0-dc80-4478-bfc8-03a5a9c5eff3,Line,DOMINGUITO  -386_TAP DOMGUITO-1106~1,386,1106,38.0,38.0,0.00205,0.013617,0.76,76.0,False,pr335,pr335,False
facf4565-7556-49fd-bc55-82b613768cf5,Line,CAONILLAS 2 -258_2400-2411NO -25801~1,258,25801,38.0,38.0,0.057,0.075,0.2,20.0,False,pr38,pr38,False
1b8d2b3b-ad24-435a-93a8-ff1bb966f612,Line,VASALLO     -630_HOSP SANCRIS-700~1,630,700,38.0,38.0,0.0006,0.0025,0.48,48.0,False,pr313,pr313,False
4661aa1e-e53d-4e92-8656-8b0504195966,Line,CRUV        -155_ESCUELA VOC -157~1,155,157,38.0,38.0,0.00129,0.00427,0.48,48.0,False,pr87,pr87,False
7bd6600f-f073-4f23-add8-bfbcd09262ae,Line,BPPR        -906_CEE         -907~1,906,907,38.0,38.0,0.005255,0.006425,0.2,20.0,False,pr87,pr87,False
2fd8bdd8-4732-4422-80ca-a2d56be39a4c,Line,BAYAMON SECT-43_HOMEDEP BAY -443~1,43,443,38.0,38.0,0.000861,0.002675,0.4,40.0,False,pr45,pr45,False
6b91be46-4812-4291-8d56-bef59ac13372,Line,MERCEDITA   -365_200-71NO    -36502~1,365,36502,38.0,38.0,0.039371,0.130562,0.48,48.0,False,pr3,pr3,False
9f1f745a-66de-4d3a-857d-b32d1648e2fd,Line,MAYAGUEZ    -28_5645        -2803~1,28,2803,38.0,38.0,0.032935,0.109215,0.48,48.0,False,pr29,pr29,False
61003288-5ec9-4f95-ace1-103d343bd2c0,Line,"Utility_PV_ReV_Grid_1472,CERRIJDIAZT~new",81,901378,38.0,38.0,0.0,0.1,0.87325,87.325,False,pr313,pr313,False
0cf67fee-a3b0-409a-a60a-7cbabc664753,Line,HERMA DAVILA-165_10700-11    -54701~1,165,54701,38.0,38.0,0.009266,0.03073,0.48,48.0,False,pr378,pr378,False
093434a1-cf60-4cea-909e-1116c9ae99ff,Line,VEGA BAJA   -42_VEGA ALTA   -89~1,42,89,38.0,38.0,0.0768,0.1517,0.76,76.0,False,pr41,pr41,False
9e8a69ae-6a36-4310-813a-898c399a8425,Line,MARTIN PEÑA -59_HATO REY TC -109~1,59,109,38.0,38.0,0.01761,0.06051,0.48,48.0,False,pr392,pr87,True
c2211dd1-f5e0-4427-8449-2b0557b5d57a,Line,LAS LOMAS   -76_10100-19    -118901~1,76,118901,38.0,38.0,7e-06,1.1e-05,0.4,40.0,False,pr87,pr87,False
05d79193-b0e8-4be6-8f45-dd434bc6ff1a,Line,S.GERMANTC38-300_1299NO      -63501~1,300,63501,38.0,38.0,0.001368,0.004537,0.48,48.0,False,pr169,pr169,False
a687f3ee-86ed-4260-bab1-2e9d457b25bb,Line,MIRAMAR     -171_PRISMA      -1041~1,171,1041,38.0,38.0,0.060082,0.06685,0.198,19.8,False,pr86,pr632,True
5043023c-4694-4774-a791-f79a498e746f,Line,EMS MAYAGUEZ-672_PROPPER     -673~1,672,673,38.0,38.0,0.01239,0.01388,0.204,20.4,False,pr116,pr116,False
e79d089c-78b7-469c-b8a0-24d7481bb52c,Line,C MEDICO SEC-69_TAP CMEDICO -142~1,69,142,38.0,38.0,0.002409,0.009005,0.4,40.0,False,pr50,pr50,False
b095e4e9-dac4-4035-958f-555159632bfd,Line,ETHICON     -536_LANCO SLOREN-910~1,536,910,38.0,38.0,0.009728,0.011893,0.19699999999999998,19.7,False,pr234,pr234,False
