bus_number,bus_name,base_kv,location_index,longitude,latitude,municipality,region,region_bus_number,region_municipality,electrical_distance_pu,hop_count,retained_region_bus,has_original_coordinate,mapped
1,COSTA SUR   -1,38.0,125,-66.7549319005293,18.0030629750221,Guayanilla,pr2,2,Guayanilla,0.14166865037826823,1,False,True,True
2,COSTA SUR115-2,115.0,128,-66.7532760592112,18.0015070538032,Guayanilla,pr2,2,Guayanilla,0.0,0,True,True,True
3,PONCE 115   -3,115.0,1219,-66.6114863915734,18.0012809272951,Ponce,pr3,3,Ponce,0.0,0,True,True,True
4,PONCE 38    -4,38.0,707,-66.6123284559963,18.000564859262,Ponce,pr3,3,Ponce,0.08925875848234337,1,False,True,True
5,YABUCOA 115 -5,115.0,919,-65.8234605404272,18.1051828222315,Humacao,pr5,5,Humacao,0.0,0,True,True,True
6,TORO NEGRO  -6,38.0,1069,-66.4880324003323,18.1317885519644,Villalba,pr213,213,Villalba,0.3032570877268954,1,False,True,True
7,S.ISABEL SEC-7,38.0,431,-66.4000504017292,17.9641952542046,Santa Isabel,pr296,296,Santa Isabel,0.7195025973948661,9,False,True,True
8,JOBOS 115   -8,115.0,107,-66.139303974935,17.961056944062,Guayama,pr8,8,Guayama,0.0,0,True,True,True
9,CARITE      -9,38.0,68,-66.1057330755579,18.0448764942407,Guayama,pr8,8,Guayama,0.5528099661833408,4,False,True,True
10,CAYEY 115   -10,115.0,921,-66.1710658953323,18.1204052191257,Cayey,pr10,10,Cayey,0.0,0,True,True,True
11,CAYEY       -11,38.0,451,-66.171089153,18.120385531,Cayey,pr10,10,Cayey,0.14403231906468675,1,False,True,True
12,COMERIO     -12,38.0,657,-66.21909468092444,18.23992131984721,Comerío,pr275,275,Comerío,0.5415951773320863,2,False,True,True
13,GUARAGUAO   -13,38.0,982,-66.1438026033953,18.3781532222639,Bayamón,pr45,45,Bayamón,0.28763002682740246,7,False,True,True
14,HUMACAO     -14,115.0,413,-65.82683737768,18.13732480866,Humacao,pr14,14,Humacao,0.0,0,True,True,True
15,HUMACAO SEC -15,38.0,559,-65.8333338117281,18.1526915249057,Humacao,pr14,14,Humacao,0.2056281226584634,8,False,True,True
16,R.BLANCO 115-16,115.0,1002,-65.7850288247602,18.2429864355861,Naguabo,pr16,16,Naguabo,0.0,0,True,True,True
17,RIO BLANCO  -17,38.0,422,-65.785,18.243,Naguabo,pr16,16,Naguabo,0.2433329309814025,1,False,True,True
18,FAJARDO 115 -18,115.0,16,-65.6457601435012,18.3297155598641,Fajardo,pr18,18,Fajardo,0.0,0,True,True,True
19,FAJARDO     -19,38.0,1298,-65.645860504627,18.3299154035399,Fajardo,pr18,18,Fajardo,0.25152438435136365,1,False,True,True
20,JUNCOS      -20,38.0,99,-65.9158837479026,18.2269036295121,Juncos,pr234,234,Juncos,0.08933293233740848,1,False,True,True
21,CAGUAS 115  -21,115.0,440,-66.0367270254871,18.2394711140921,Caguas,pr21,21,Caguas,0.0,0,True,True,True
22,CAGUAS      -22,38.0,21,-66.0364857468777,18.2395335949053,Caguas,pr21,21,Caguas,0.12642501628861783,2,False,True,True
23,GUANICA 115 -23,115.0,305,-66.8976331730957,17.9659887334244,Guánica,pr23,23,Guánica,0.0,0,True,True,True
24,GUANICA     -24,38.0,289,-66.9100994573326,17.9742920248545,Guánica,pr2,2,Guayanilla,0.35082815186569216,6,False,True,True
25,YAUCO 2     -25,38.0,313,-66.8837993185187,18.0534565140697,Yauco,pr2,2,Guayanilla,0.44802791872056985,7,False,True,True
26,YAUCO 1     -26,38.0,188,-66.8710762374793,18.1105788301621,Yauco,pr169,169,San Germán,0.13318294896822527,3,False,True,True
27,SAN GERMAN  -27,38.0,1149,-67.0530569749528,18.0825191080134,San Germán,pr169,169,San Germán,0.27603802322797333,5,False,True,True
28,MAYAGUEZ    -28,38.0,179,-67.1600615948929,18.2192150440673,Mayagüez,pr29,29,Mayagüez,0.13899707083244595,1,False,True,True
29,MAYAGUEZ 115-29,115.0,1313,-67.147380541546,18.2373912818469,Mayagüez,pr29,29,Mayagüez,0.0,0,True,True,True
30,RINCON      -30,38.0,791,-67.2554721537402,18.3444314420522,Rincón,pr32,32,Aguadilla,0.7401928565660802,7,False,True,True
31,AGUADILLA   -31,38.0,623,-67.1537775190144,18.4041768758738,Aguadilla,pr32,32,Aguadilla,0.09289262295790769,1,False,True,True
32,AGUADILLA115-32,115.0,889,-67.15392125,18.40430858,Aguadilla,pr32,32,Aguadilla,0.0,0,True,True,True
