r,rr,branch_count,rated_branch_count,boundary_rate_sum_mw_screening_only,suspect_rating_count,capacity_method
pr10,pr21,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr10,pr275,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr10,pr8,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr100,pr32,2,2,428.3,0,sum_of_boundary_ratings_not_validated_ITL
pr100,pr335,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr100,pr35,1,1,19.7,0,sum_of_boundary_ratings_not_validated_ITL
pr100,pr352,1,1,300.0,0,sum_of_boundary_ratings_not_validated_ITL
pr100,pr97021,1,1,1210002.566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr101,pr16,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr101,pr18,2,2,164.2,0,sum_of_boundary_ratings_not_validated_ITL
pr101,pr3000,1,1,1210002.566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr102,pr153,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr102,pr167,1,1,231.1,0,sum_of_boundary_ratings_not_validated_ITL
pr102,pr343,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr102,pr40,1,1,48.0,0,sum_of_boundary_ratings_not_validated_ITL
pr102,pr452,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1025,pr185,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1025,pr334,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1025,pr97134,1,1,121000.2566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr1027,pr149,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1027,pr21,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr103,pr2,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr103,pr3,3,3,308.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1040,pr21,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr1040,pr50,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr106,pr107,2,2,1088.0,0,sum_of_boundary_ratings_not_validated_ITL
pr106,pr321,1,1,738.5,0,sum_of_boundary_ratings_not_validated_ITL
pr106,pr451,2,2,832.0,0,sum_of_boundary_ratings_not_validated_ITL
pr106,pr96,1,1,415.4,0,sum_of_boundary_ratings_not_validated_ITL
pr107,pr296,1,1,116.10000000000001,0,sum_of_boundary_ratings_not_validated_ITL
pr107,pr8,2,2,738.6,0,sum_of_boundary_ratings_not_validated_ITL
pr107,pr97014,1,1,121000.2566077499,1,sum_of_boundary_ratings_not_validated_ITL
pr1077,pr363,1,1,478.1000000000001,0,sum_of_boundary_ratings_not_validated_ITL
pr1077,pr96,1,1,462.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1078,pr3,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1078,pr313,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1079,pr213,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr1079,pr313,1,1,116.19999999999999,0,sum_of_boundary_ratings_not_validated_ITL
pr1102,pr392,1,1,240.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1102,pr87,1,1,240.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1103,pr63,1,1,199.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1103,pr88,1,1,199.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1104,pr45,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1104,pr63,1,1,191.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1105,pr45,1,1,240.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1105,pr50,1,1,240.0,0,sum_of_boundary_ratings_not_validated_ITL
pr111,pr378,1,1,231.1,0,sum_of_boundary_ratings_not_validated_ITL
pr111,pr45,1,1,184.6,0,sum_of_boundary_ratings_not_validated_ITL
pr1110,pr440,1,1,300.0,0,sum_of_boundary_ratings_not_validated_ITL
pr1110,pr96,1,1,300.0,0,sum_of_boundary_ratings_not_validated_ITL
pr116,pr169,4,4,169.5,0,sum_of_boundary_ratings_not_validated_ITL
pr116,pr29,3,3,212.2,0,sum_of_boundary_ratings_not_validated_ITL
pr120,pr451,1,1,924.0,0,sum_of_boundary_ratings_not_validated_ITL
pr120,pr85,1,1,450.0,0,sum_of_boundary_ratings_not_validated_ITL
pr120,pr956,1,1,369.3,0,sum_of_boundary_ratings_not_validated_ITL
pr1206,pr234,2,2,239.0,0,sum_of_boundary_ratings_not_validated_ITL
pr127,pr50,1,1,242.70000000000002,0,sum_of_boundary_ratings_not_validated_ITL
