technology,year,capcost,fom
upv,2010,1890.1204263649163,31.928615525232
upv,2011,1890.1204263649163,31.928615525232
upv,2012,1890.1204263649163,31.928615525232
upv,2013,1890.1204263649163,31.928615525232
upv,2014,1890.1204263649163,31.928615525232
upv,2015,1890.1204263649163,31.928615525232
upv,2016,1890.1204263649163,31.928615525232
upv,2017,1890.1204263649163,31.928615525232
upv,2018,1890.1204263649163,31.928615525232
upv,2019,1890.1204263649163,31.928615525232
upv,2020,1890.1204263649163,31.928615525232
upv,2021,1890.1204263649163,31.928615525232
upv,2022,1890.1204263649163,31.928615525232
upv,2023,1812.4136175766107,30.982410350154666
upv,2024,1734.7068087883054,30.03620517507733
upv,2025,1657.0,29.09
upv,2026,1579.2931912116944,28.143794824922665
upv,2027,1501.586382423389,27.197589649845327
upv,2028,1423.8795736350835,26.251384474767995
upv,2029,1346.1727648467781,25.305179299690664
upv,2030,1268.4659560584728,24.358974124613326
upv,2031,1257.1628487688292,24.198637138069774
upv,2032,1245.8597414791857,24.03830015152622
upv,2033,1234.5566341895424,23.877963164982667
upv,2034,1223.2535268998988,23.717626178439115
upv,2035,1211.9504196102553,23.55728919189556
upv,2036,1200.647315247249,23.398894467583744
upv,2037,1189.3442108842428,23.240499743271926
upv,2038,1178.0411065212368,23.08210501896011
upv,2039,1166.7380021582303,22.92371029464829
upv,2040,1155.434897795224,22.765315570336476
upv,2041,1144.1317892890095,22.608715124957953
upv,2042,1132.8286807827951,22.452114679579438
upv,2043,1121.5255722765803,22.295514234200915
upv,2044,1110.222463770366,22.1389137888224
upv,2045,1098.9193552641514,21.98231334344388
upv,2046,1087.6161965148876,21.82737296070848
upv,2047,1076.313037765624,21.67243257797308
upv,2048,1065.00987901636,21.51749219523768
upv,2049,1053.7067202670962,21.362551812502282
upv,2050,1042.4035615178325,21.20761142976688
wind-ons,2010,3865.2740080555104,104.55698151188867
wind-ons,2011,3865.2740080555104,104.55698151188867
wind-ons,2012,3865.2740080555104,104.55698151188867
wind-ons,2013,3865.2740080555104,104.55698151188867
wind-ons,2014,3865.2740080555104,104.55698151188867
wind-ons,2015,3865.2740080555104,104.55698151188867
wind-ons,2016,3865.2740080555104,104.55698151188867
wind-ons,2017,3865.2740080555104,104.55698151188867
wind-ons,2018,3865.2740080555104,104.55698151188867
wind-ons,2019,3865.2740080555104,104.55698151188867
wind-ons,2020,3865.2740080555104,104.55698151188867
wind-ons,2021,3865.2740080555104,104.55698151188867
wind-ons,2022,3865.2740080555104,104.55698151188867
wind-ons,2023,3834.182672037007,102.54132100792577
wind-ons,2024,3803.0913360185027,100.5256605039629
wind-ons,2025,3771.9999999999995,98.51
wind-ons,2026,3740.908663981496,96.49433949603711
wind-ons,2027,3709.8173279629923,94.47867899207421
wind-ons,2028,3678.725991944489,92.46301848811132
wind-ons,2029,3647.634655925985,90.44735798414843
wind-ons,2030,3616.5433199074814,88.43169748018553
wind-ons,2031,3911.841430928769,87.10521863803103
wind-ons,2032,4207.139541950057,85.77873979587656
wind-ons,2033,4502.437652971344,84.45226095372207
wind-ons,2034,4797.735763992632,83.1257821115676
wind-ons,2035,5093.033875013919,81.79930326941312
wind-ons,2036,5093.033875013919,81.79930326941312
wind-ons,2037,5093.033875013919,81.79930326941312
wind-ons,2038,5093.033875013919,81.79930326941312
wind-ons,2039,5093.033875013919,81.79930326941312
wind-ons,2040,5093.033875013919,81.79930326941312
wind-ons,2041,5093.033875013919,81.79930326941312
wind-ons,2042,5093.033875013919,81.79930326941312
wind-ons,2043,5093.033875013919,81.79930326941312
wind-ons,2044,5093.033875013919,81.79930326941312
wind-ons,2045,5093.033875013919,81.79930326941312
wind-ons,2046,5093.033875013919,81.79930326941312
wind-ons,2047,5093.033875013919,81.79930326941312
wind-ons,2048,5093.033875013919,81.79930326941312
wind-ons,2049,5093.033875013919,81.79930326941312
wind-ons,2050,5093.033875013919,81.79930326941312
wind-ofs,2010,5121.6516796145825,169.24153513836157
wind-ofs,2011,5121.6516796145825,169.24153513836157
wind-ofs,2012,5121.6516796145825,169.24153513836157
wind-ofs,2013,5121.6516796145825,169.24153513836157
wind-ofs,2014,5121.6516796145825,169.24153513836157
wind-ofs,2015,5121.6516796145825,169.24153513836157
wind-ofs,2016,5121.6516796145825,169.24153513836157
wind-ofs,2017,5121.6516796145825,169.24153513836157
wind-ofs,2018,5121.6516796145825,169.24153513836157
wind-ofs,2019,5121.6516796145825,169.24153513836157
wind-ofs,2020,5121.6516796145825,169.24153513836157
wind-ofs,2021,5121.6516796145825,169.24153513836157
wind-ofs,2022,5121.6516796145825,169.24153513836157
wind-ofs,2023,5121.6516796145825,169.24153513836157
wind-ofs,2024,5121.6516796145825,169.24153513836157
wind-ofs,2025,5121.6516796145825,169.24153513836157
wind-ofs,2026,5121.6516796145825,169.24153513836157
wind-ofs,2027,5121.6516796145825,169.24153513836157
wind-ofs,2028,5121.6516796145825,169.24153513836157
wind-ofs,2029,5121.6516796145825,169.24153513836157
wind-ofs,2030,5121.6516796145825,169.24153513836157
wind-ofs,2031,5035.321343691666,164.31322811068924
wind-ofs,2032,4948.99100776875,159.38492108301693
wind-ofs,2033,4862.660671845832,154.4566140553446
wind-ofs,2034,4776.330335922917,149.5283070276723
wind-ofs,2035,4690.0,144.6
wind-ofs,2036,4690.0,144.6
wind-ofs,2037,4690.0,144.6
wind-ofs,2038,4690.0,144.6
wind-ofs,2039,4690.0,144.6
wind-ofs,2040,4690.0,144.6
wind-ofs,2041,4690.0,144.6
wind-ofs,2042,4690.0,144.6
wind-ofs,2043,4690.0,144.6
wind-ofs,2044,4690.0,144.6
wind-ofs,2045,4690.0,144.6
wind-ofs,2046,4690.0,144.6
wind-ofs,2047,4690.0,144.6
wind-ofs,2048,4690.0,144.6
wind-ofs,2049,4690.0,144.6
wind-ofs,2050,4690.0,144.6
