t,fuel,cost_2021_per_mmbtu,source,quality
2010,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2011,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2012,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2013,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2014,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2015,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2016,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2017,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2018,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2019,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2020,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2021,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2022,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2023,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2024,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2025,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2026,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2027,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2028,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2029,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2030,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2031,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2032,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2033,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2034,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2035,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2036,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2037,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2038,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2039,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2040,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2041,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2042,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2043,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2044,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2045,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2046,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2047,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2048,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2049,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2050,coal,3.7,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2010,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2011,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2012,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2013,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2014,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2015,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2016,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2017,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2018,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2019,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2020,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2021,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2022,naturalgas,11.3,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2023,naturalgas,11.366666666666667,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2024,naturalgas,11.433333333333334,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2025,naturalgas,11.5,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2026,naturalgas,11.62,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2027,naturalgas,11.74,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2028,naturalgas,11.86,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2029,naturalgas,11.98,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2030,naturalgas,12.1,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2031,naturalgas,12.19,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2032,naturalgas,12.28,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2033,naturalgas,12.37,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2034,naturalgas,12.459999999999999,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2035,naturalgas,12.55,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2036,naturalgas,12.64,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2037,naturalgas,12.73,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2038,naturalgas,12.82,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2039,naturalgas,12.91,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2040,naturalgas,13.0,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2041,naturalgas,12.97,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2042,naturalgas,12.94,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
2043,naturalgas,12.91,digitized NREL/TP-6A20-88384 Figure 132,approximate_public_figure
