r,rr,MW,loss,branch_count,method
pr10,pr21,116.2,0.019300819999999996,1,sum_of_boundary_continuous_ratings
pr10,pr275,48.0,0.02678592,1,sum_of_boundary_continuous_ratings
pr10,pr8,184.6,0.034483279999999984,1,sum_of_boundary_continuous_ratings
pr100,pr32,428.3,0.01994732926219939,2,sum_of_boundary_continuous_ratings
pr100,pr335,48.0,0.00839088,1,sum_of_boundary_continuous_ratings
pr100,pr35,19.7,0.058055899999999994,1,sum_of_boundary_continuous_ratings
pr100,pr352,300.0,0.0083549999999997,1,sum_of_boundary_continuous_ratings
pr100,pr97021,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr101,pr16,116.2,0.015686999999999996,1,sum_of_boundary_continuous_ratings
pr101,pr18,164.2,0.016503247990255786,2,sum_of_boundary_continuous_ratings
pr101,pr3000,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr102,pr153,48.0,0.006834239999999999,1,sum_of_boundary_continuous_ratings
pr102,pr167,231.1,0.00427535,1,sum_of_boundary_continuous_ratings
pr102,pr343,116.2,0.0008133999999999998,1,sum_of_boundary_continuous_ratings
pr102,pr40,48.0,0.006177599999999999,1,sum_of_boundary_continuous_ratings
pr102,pr452,184.6,0.020527519999999994,1,sum_of_boundary_continuous_ratings
pr1025,pr185,184.6,0.0005168799999999998,1,sum_of_boundary_continuous_ratings
pr1025,pr334,184.6,0.00594412,1,sum_of_boundary_continuous_ratings
pr1025,pr97134,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr1027,pr149,191.0,0.00644625,1,sum_of_boundary_continuous_ratings
pr1027,pr21,191.0,0.00644625,1,sum_of_boundary_continuous_ratings
pr103,pr2,184.6,0.012128219999999999,1,sum_of_boundary_continuous_ratings
pr103,pr3,308.6,0.004810691134154244,3,sum_of_boundary_continuous_ratings
pr1040,pr21,116.2,0.009760799999999997,1,sum_of_boundary_continuous_ratings
pr1040,pr50,116.2,0.0069139,1,sum_of_boundary_continuous_ratings
pr106,pr107,1088.0,0.00020400000000000003,2,sum_of_boundary_continuous_ratings
pr106,pr321,738.5,0.0045048499999999995,1,sum_of_boundary_continuous_ratings
pr106,pr451,832.0,0.009048,2,sum_of_boundary_continuous_ratings
pr106,pr96,415.4,0.02816412,1,sum_of_boundary_continuous_ratings
pr107,pr296,116.1,0.010000854000000003,1,sum_of_boundary_continuous_ratings
pr107,pr8,738.6,0.01362717,2,sum_of_boundary_continuous_ratings
pr107,pr97014,5000.0,0.0,0,N0_TTC_fallback_no_rated_boundary
pr1077,pr363,478.1000000000001,0.0016159780000000001,1,sum_of_boundary_continuous_ratings
pr1077,pr96,462.0,0.00796488,1,sum_of_boundary_continuous_ratings
pr1078,pr3,184.6,0.012925691999999999,1,sum_of_boundary_continuous_ratings
pr1078,pr313,184.6,0.0015174119999999997,1,sum_of_boundary_continuous_ratings
pr1079,pr213,116.2,0.011523553999999997,1,sum_of_boundary_continuous_ratings
pr1079,pr313,116.2,0.0008668519999999999,1,sum_of_boundary_continuous_ratings
