reeds_comparison_category,year,capacity_mw
Battery Storage,2022,0.0
Battery Storage,2025,1060.2483067053836
Battery Storage,2028,1810.2483067053836
Battery Storage,2030,1910.2483067053836
Battery Storage,2035,1910.2483067053836
Battery Storage,2040,1910.2483067053836
Battery Storage,2045,1961.9740854493452
Battery Storage,2050,2921.820698113898
Coal,2022,454.0
Coal,2025,454.0
Coal,2028,0.0
Coal,2030,0.0
Coal,2035,0.0
Coal,2040,0.0
Coal,2045,0.0
Coal,2050,0.0
Distributed PV,2022,0.0
Distributed PV,2025,771.5340848000001
Distributed PV,2028,954.54173565
Distributed PV,2030,1063.4481649799998
Distributed PV,2035,1246.19975825
Distributed PV,2040,1443.74430689
Distributed PV,2045,1855.67269808
Distributed PV,2050,2473.94648095
Hydropower,2022,10.0
Hydropower,2025,0.0
Hydropower,2028,0.0
Hydropower,2030,0.0
Hydropower,2035,0.0
Hydropower,2040,0.0
Hydropower,2045,0.0
Hydropower,2050,0.0
Land-based Wind,2022,75.0
Land-based Wind,2025,172.0854804368247
Land-based Wind,2028,172.0854804368247
Land-based Wind,2030,172.0854804368247
Land-based Wind,2035,218.55553039348163
Land-based Wind,2040,266.4829848039667
Land-based Wind,2045,266.4829848039667
Land-based Wind,2050,379.2567349492054
Landfill Gas,2022,4.8
Landfill Gas,2025,4.8
Landfill Gas,2028,4.8
Landfill Gas,2030,4.8
Landfill Gas,2035,4.8
Landfill Gas,2040,4.8
Landfill Gas,2045,4.8
Landfill Gas,2050,4.8
Liquid Fuel / Biodiesel,2022,2576.0
Liquid Fuel / Biodiesel,2025,1821.0
Liquid Fuel / Biodiesel,2028,941.0
Liquid Fuel / Biodiesel,2030,621.0
Liquid Fuel / Biodiesel,2035,621.0
Liquid Fuel / Biodiesel,2040,621.0
Liquid Fuel / Biodiesel,2045,621.0
Liquid Fuel / Biodiesel,2050,1318.4938065462215
Natural Gas,2022,1230.0
Natural Gas,2025,1630.0
Natural Gas,2028,1630.0
Natural Gas,2030,1630.0
Natural Gas,2035,1630.0
Natural Gas,2040,1630.0
Natural Gas,2045,1630.0
Natural Gas,2050,0.0
Offshore Wind,2022,0.0
Offshore Wind,2025,0.0
Offshore Wind,2028,0.0
Offshore Wind,2030,0.0
Offshore Wind,2035,0.0
Offshore Wind,2040,0.0
Offshore Wind,2045,0.0
Offshore Wind,2050,0.0
Utility PV,2022,143.1
Utility PV,2025,3279.2786400933524
Utility PV,2028,3279.2786400933524
Utility PV,2030,3279.2786400933524
Utility PV,2035,3279.2786400933524
Utility PV,2040,3279.2786400933524
Utility PV,2045,3279.2786400933524
Utility PV,2050,6710.009849860031
