t,st,rps_all,rps_solar,rps_wind
2010,PR,0.0,0.0,0.0
2011,PR,0.0,0.0,0.0
2012,PR,0.0,0.0,0.0
2013,PR,0.0,0.0,0.0
2014,PR,0.0,0.0,0.0
2015,PR,0.0,0.0,0.0
2016,PR,0.0,0.0,0.0
2017,PR,0.0,0.0,0.0
2018,PR,0.0,0.0,0.0
2019,PR,0.0,0.0,0.0
2020,PR,0.0,0.0,0.0
2021,PR,0.0,0.0,0.0
2022,PR,0.0,0.0,0.0
2023,PR,0.0,0.0,0.0
2024,PR,0.0,0.0,0.0
2025,PR,0.4,0.0,0.0
2026,PR,0.4,0.0,0.0
2027,PR,0.4,0.0,0.0
2028,PR,0.4,0.0,0.0
2029,PR,0.4,0.0,0.0
2030,PR,0.4,0.0,0.0
2031,PR,0.4,0.0,0.0
2032,PR,0.4,0.0,0.0
2033,PR,0.4,0.0,0.0
2034,PR,0.4,0.0,0.0
2035,PR,0.4,0.0,0.0
2036,PR,0.4,0.0,0.0
2037,PR,0.4,0.0,0.0
2038,PR,0.4,0.0,0.0
2039,PR,0.4,0.0,0.0
2040,PR,0.6,0.0,0.0
2041,PR,0.6,0.0,0.0
2042,PR,0.6,0.0,0.0
2043,PR,0.6,0.0,0.0
2044,PR,0.6,0.0,0.0
2045,PR,0.6,0.0,0.0
2046,PR,0.6,0.0,0.0
2047,PR,0.6,0.0,0.0
2048,PR,0.6,0.0,0.0
2049,PR,0.6,0.0,0.0
2050,PR,1.0,0.0,0.0
