tech,sc_point_gid,region,class,capacity_mw
upv,4,pr352,5,10.402
upv,6,pr352,5,169.519
upv,7,pr352,5,118.58700000000002
upv,8,pr352,5,152.852
upv,9,pr352,5,8.862000000000002
upv,10,pr352,5,52.115
upv,80,pr352,5,129.52100000000002
upv,81,pr352,5,131.565
upv,82,pr352,5,227.836
upv,83,pr352,5,175.52500000000003
upv,84,pr352,5,73.066
upv,85,pr352,4,113.351
upv,86,pr352,4,112.021
upv,87,pr352,4,13.888000000000002
upv,88,pr352,5,105.063
upv,89,pr352,4,55.069
upv,90,pr335,4,95.956
upv,91,pr335,4,17.248
upv,92,pr335,4,33.264
upv,93,pr335,5,39.802
upv,98,pr440,5,59.227
upv,99,pr440,4,172.669
upv,100,pr440,4,42.616
upv,101,pr343,4,9.191
upv,102,pr343,5,21.574
upv,104,pr196,4,12.432
upv,106,pr196,5,14.035
upv,107,pr196,5,6.188000000000001
upv,108,pr41,5,17.808
upv,110,pr41,4,37.408
upv,111,pr93,4,53.431
upv,112,pr93,4,9.541
upv,156,pr32,3,6.055000000000001
upv,157,pr352,3,46.396
upv,158,pr352,3,53.865
upv,159,pr352,3,35.889
upv,160,pr352,3,69.47500000000001
upv,161,pr352,3,49.035
upv,162,pr352,3,72.611
upv,163,pr352,3,25.641
upv,164,pr352,3,113.813
upv,165,pr352,3,132.90200000000002
upv,166,pr335,3,103.187
upv,167,pr335,3,59.472
upv,168,pr335,3,51.74400000000001
upv,169,pr335,3,58.695
upv,170,pr335,3,19.845
upv,175,pr440,4,67.662
upv,176,pr167,4,66.395
upv,177,pr343,4,26.593
upv,178,pr343,4,8.568000000000001
upv,179,pr196,4,11.214
upv,180,pr196,4,23.219
upv,181,pr196,4,28.693
upv,183,pr196,4,7.007000000000001
upv,186,pr41,4,15.96
upv,187,pr93,5,44.702000000000005
upv,188,pr93,5,8.022
upv,200,pr120,4,7.875
upv,232,pr32,3,5.054
upv,233,pr32,3,65.541
upv,234,pr352,3,6.37
upv,237,pr352,3,7.903
upv,240,pr352,3,20.734
upv,241,pr352,3,49.084
upv,242,pr335,3,38.626000000000005
upv,243,pr335,2,21.861
upv,244,pr335,3,13.286
upv,245,pr335,2,34.755
upv,246,pr335,3,45.717
upv,247,pr440,2,17.465
upv,250,pr440,3,36.708
upv,251,pr440,2,105.861
upv,252,pr167,3,30.128
upv,257,pr196,2,33.201
upv,259,pr196,2,44.961
upv,260,pr41,2,50.246
upv,262,pr41,3,86.751
upv,263,pr93,3,123.508
upv,264,pr93,3,30.338
upv,275,pr120,3,8.176
upv,278,pr120,5,7.021
upv,279,pr82,5,5.215
upv,312,pr352,2,21.021
upv,313,pr352,2,6.027000000000001
upv,322,pr335,2,14.595
upv,323,pr440,2,22.484
upv,326,pr1110,2,23.597
upv,327,pr1110,2,22.68
upv,328,pr167,2,24.948
upv,329,pr167,2,5.698
upv,330,pr102,2,9.429
upv,333,pr196,2,5.348000000000001
upv,335,pr196,2,5.635
upv,338,pr93,2,10.374
upv,339,pr93,3,22.554
upv,340,pr93,3,37.03
upv,341,pr93,2,9.422
upv,358,pr211,5,19.866
upv,359,pr211,4,10.36
upv,380,pr32,3,8.127
upv,382,pr32,2,5.166
upv,383,pr32,2,26.593
upv,384,pr32,1,16.583
upv,385,pr32,1,9.408
upv,386,pr32,1,21.532000000000004
upv,387,pr352,1,19.544
upv,388,pr352,1,32.739
upv,389,pr35,1,18.305
upv,390,pr35,2,39.494
upv,391,pr35,2,11.683000000000002
upv,395,pr335,1,32.27
upv,396,pr335,1,34.678
upv,398,pr335,1,8.190000000000001
upv,404,pr1110,1,10.36
upv,409,pr196,1,22.281
upv,410,pr196,2,20.594
