tech,sc_point_gid,region,class,capacity,capital_adder_per_mw,cost_total_trans_usd_per_mw,supply_curve_cost_per_mw,cf,latitude,longitude,poi_bus,poi_name,poi_kv,poi_distance_km,mapping_method,class_method,source_country,cost_dollar_year,cost_basis,source_capex_usd_per_kw,source_opex_usd_per_kw_year,source_fixed_charge_rate,source_lcoe_usd_per_mwh,source_total_lcoe_usd_per_mwh,cost_source,pr100_exclusions_applied,pr100_exclusions_config,additional_geographic_screen
upv,4,pr352,5,10.402,0.0,47481.703,47481.703,0.20263673,18.505,-67.152,352,MORA230,230.0,12.948410217065327,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470557,0.0515,24.971834328972346,26.349396556503308,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,6,pr352,5,169.519,0.0,28521.424,28521.424,0.2009692,18.506,-67.097,352,MORA230,230.0,7.777882165630365,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470556,0.051500008,21.34775066505785,22.182094007701348,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,7,pr352,5,118.58700000000002,0.0,20778.594,20778.594,0.20069443,18.506,-67.07,352,MORA230,230.0,5.666387941353878,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470556,0.051500008,21.377024261524475,21.98569712185368,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,8,pr352,5,152.852,0.0,16392.2,16392.2,0.20065916,18.506,-67.043,352,MORA230,230.0,4.470204559831215,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470557,0.051500008,21.381215375300364,21.861480828171647,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,9,pr352,5,8.862000000000002,0.0,18182.252,18182.252,0.20004168,18.506,-67.015,352,MORA230,230.0,4.958357786577271,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.8207,10.470558,0.051499996,25.72848610009744,26.262841627579103,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,10,pr352,5,52.115,0.0,24758.83,24758.83,0.20037039,18.506,-66.988,352,MORA230,230.0,6.751811265417121,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470557,0.051500004,22.84002051677944,23.566460410114217,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,80,pr352,5,129.52100000000002,0.0,45089.273,45089.273,0.20066413,18.479,-67.152,352,MORA230,230.0,12.29598691338667,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470556,0.051500008,21.37681970854085,22.697831297031676,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,81,pr352,5,131.565,0.0,34405.02,34405.02,0.20194614,18.48,-67.124,352,MORA230,230.0,9.382357465643505,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470556,0.051500008,21.238296293562065,22.239884907218503,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,82,pr352,5,227.836,0.0,24149.908,24149.908,0.20041934,18.48,-67.097,352,MORA230,230.0,6.585756042113596,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.8207,10.470556,0.051500004,21.41012193177365,22.118522595478627,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
upv,83,pr352,5,175.52500000000003,0.0,14192.927,14192.927,0.20081943,18.48,-67.07,352,MORA230,230.0,3.8704560057721444,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,525.82074,10.470556,0.051500008,21.364727576917574,21.78022597676989,"PR100 2022 ATB moderate fixed-tilt PV, converted to 2021 real USD",,,
