tech,sc_point_gid,region,class,capacity,capital_adder_per_mw,cost_total_trans_usd_per_mw,supply_curve_cost_per_mw,cf,latitude,longitude,poi_bus,poi_name,poi_kv,poi_distance_km,mapping_method,class_method,source_country,cost_dollar_year,cost_basis,source_capex_usd_per_kw,source_opex_usd_per_kw_year,source_fixed_charge_rate,source_lcoe_usd_per_mwh,source_total_lcoe_usd_per_mwh,cost_source,pr100_exclusions_applied,pr100_exclusions_config,additional_geographic_screen
wind-ons,1,pr352,10,11.757,0.0,47547.57,47547.57,0.5427607,18.482,-67.158,352,MORA230,230.0,12.96637288584931,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2637.802693099361,36.35710166218738,0.0759,49.987947672952316,50.85570710256719,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,2,pr352,10,38.8368,0.0,18449.516,18449.516,0.5313772,18.482,-67.081,352,MORA230,230.0,5.031241314903446,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2208.6261906902414,36.35709349610647,0.0759,44.03311662411663,44.377039784260965,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,3,pr352,9,24.3996,0.0,14097.742,14097.742,0.49557567,18.482,-67.004,352,MORA230,230.0,3.844498778551423,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2437.435483593215,36.35709894016041,0.0759,51.293035538561156,51.57482126165771,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,4,pr352,8,19.7241,0.0,43229.84,43229.84,0.48843086,18.482,-66.926,352,MORA230,230.0,11.78891363356635,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2511.5355756448494,36.35709894016041,0.0759,53.37365224789147,54.250370235126866,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,5,pr335,7,17.2302,0.0,30686.309,30686.309,0.46139386,18.482,-66.849,335,HATILLO115,115.0,8.368253447939805,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2551.0603793166633,36.35709894016041,0.0759,57.25958004988301,57.91837799280698,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,8,pr440,5,9.0012,0.0,31444.662,31444.662,0.41073754,18.483,-66.617,440,CAMBGP230,230.0,8.575058705044516,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425292,36.35710166218738,0.0759,66.82637134334001,67.58470775830686,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,12,pr93,5,11.253,0.0,31010.273,31010.273,0.40870216,18.483,-66.307,93,DORADO115,115.0,8.456599459749931,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2645.790182138174,36.35710710624132,0.0759,66.59626568563468,67.34785055852906,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,28,pr32,8,7.575900000000001,0.0,2177.6765,2177.6765,0.48204786,18.408,-67.158,32,AGUADILLA115,115.0,0.5938592863122848,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2665.6484649425283,36.35710166218738,0.0759,58.26004209668103,58.30479101985392,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,29,pr352,5,25.594800000000003,0.0,29245.088,29245.088,0.407451,18.408,-67.081,352,MORA230,230.0,7.975227616723951,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2418.493429889582,36.35709894016041,0.0759,63.39641926150477,64.10739852470337,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
wind-ons,30,pr352,9,23.635800000000003,0.0,26896.83,26896.83,0.49166632,18.408,-67.003,352,MORA230,230.0,7.334850559400256,pr100_connection_then_electrical_rollup,equal_capacity_cf_proxy_pending_reeds_kmeans,Puerto Rico,2021,real_2021_usd,2449.5406381882394,36.35709894016041,0.0759,52.000987483905746,52.54287612022957,"PR100 wind cost workflow, converted from 2015 to 2021 real USD",,,
